,name,seed,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,eval/theta,online/phi_ref,citation_states/r,citation_inputs/de,citation_states/psi,_wandb,eval/step,eval/theta_ref,eval/theta_sq_error,online_states/alpha,online_states/r,eval/reward,eval/phi_ref,learning/step,online_states/q,citation_states/V,citation_states/xe,hybrid_improvement,eval/phi,eval/nmae,non_hybrid_nmae,online_states/beta,online/step,citation_states/q,citation_states/ye,online/theta_sq_error,eval/dr,_step,eval/de,hybrid_nmae,actor/idhp_w_0,online/action_de,online/action_dr,online_states/ye,online/phi,train/step,online/theta,online/action_da,online_states/theta,online/beta,online/nmae,online/theta_ref,citation_states/p,citation_inputs/da,online_states/step,citation_inputs/step,online_states/psi,citation_states/step,_timestamp,actor/idhp_w_2,learning/rewards,online_states/xe,_runtime,online_states/p,eval/phi_sq_error,citation_states/he,eval/beta_sq_error,online/phi_sq_error,online/beta_sq_error,eval/da,eval/beta,eval/beta_ref,online_states/he,online_states/V,online/mean_error,citation_states/beta,citation_states/alpha,citation_states/theta,actor/idhp_w_1,online/beta_ref,online_states/phi,citation_inputs/dr,citation_states/phi
0,frosty-sweep-15,5,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.8,0.8,0.11948624246853644,-0.1866243304896529,-0.0448941577712407,-0.047157734632492065,-1.901097066663476,{'runtime': 12},9950,0,0.0520761132995631,0.0600376590505018,-0.030704039418032993,-0.10643264019059112,-0.1845515065112372,9950,0.012838074317621356,88.88723235590257,5248.53704640922,22.38126863379246,-0.216772338738248,0.25436968527708675,25.436968527708675,0.0078492111210569,9950,0.011623038219668374,-5691.029642008911,0.00022472675275418656,0.20134881138801575,9580,-0.047157734632492065,3.055699893916215,0.999520480632782,-0.02922430634498596,0.02197447419166565,667.0727957331646,-0.1998553654700684,9950,0.0078492111210569,-0.023322105407714844,-0.001521340135710462,-0.001521340135710462,0.030556998939162156,0,0.08253590032153446,-0.05072754621505737,9950,9950,0.009961613327259256,9950,1686031653.643776,-1.3023368410358673e-05,-0.0009983452358186152,8836.280274699244,12.978099822998049,0.09993768873305776,0.003546822996544281,1482.9178206032589,0.0009948219054785462,0.0006385433562880802,0.00013507512677634844,-0.05072754621505737,-0.004128680735074117,0,1509.1093616623343,89.36677751721719,0.0038948077549157993,0.11948624246853644,0.05826547193448002,-0.004128680735074117,0.0,0,-0.1998553654700684,0.20134881138801575,-0.216772338738248
1,ethereal-sweep-14,4,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.8,0.8,0.1194862318690562,-0.1866243304896529,-0.04489416461774573,-0.04715719819068909,-1.901097082180695,{'runtime': 12},9950,0,0.05207610406034528,0.05900813306234673,-0.030972305362144213,-0.10643246991366433,-0.1845515065112372,9950,0.010385491977213578,88.88723217803134,5248.537016116482,22.47936419846644,-0.21677235606279935,0.2543696759074735,25.43696759074735,0.006630162907825588,9950,0.011622961613818034,-5691.029670525827,0.00016034342434843228,0.2013491094112396,9580,-0.04715719819068909,2.957603392280911,0.999409556388855,-0.028154492378234863,0.02007952332496643,667.1105191906003,-0.21170331742403112,9950,0.006630162907825588,-0.023305177688598633,0.0002392054930701432,0.0002392054930701432,0.029576033922809112,0,0.08253575118362576,-0.05072766542434693,9950,9950,-0.0064226754462101,9950,1686031632.369001,-8.028255251701921e-05,-0.002457837676436776,8839.288240636899,12.954859972000122,0.09975855632709556,0.0035468269376061176,1482.917839674005,0.0009947888715161994,0.0022941548782918256,3.339373796518338e-06,-0.05072766542434693,-0.004128612186213551,0,1498.0678228409683,89.26407478212792,0.004888789386285114,0.1194862318690562,0.058265512890755954,-0.004128612186213551,0.0,0,-0.21170331742403112,0.2013491094112396,-0.21677235606279935
2,serene-sweep-13,3,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.8,0.8,0.11948623095605884,-0.1866243304896529,-0.04489415368616431,-0.04715698957443237,-1.9010970610760771,{'runtime': 12},9950,0,0.05207610326451559,0.059357574784635256,-0.02877487502250672,-0.1064325633245573,-0.1845515065112372,9950,0.011137319344012598,88.88723217658251,5248.537047635156,22.508190542647352,-0.21677238723843228,0.2543696810228931,25.43696810228931,0.004093553515484516,9950,0.011622998860479334,-5691.029662030924,6.112286463703635e-05,0.20134922862052915,9580,-0.04715698957443237,2.9287775596419565,0.9995710253715516,-0.02843087911605835,0.015489459037780762,951.8626752995292,-0.19823708901987389,9950,0.004093553515484516,-0.02216130495071411,0.00012242111711450532,0.00012242111711450532,0.029287775596419565,0,0.0825360049958424,-0.05072760581970215,9950,9950,0.07483699674829605,9950,1686031610.926265,-1.249109391210368e-05,-0.0005538938064610535,8808.360375972481,12.855555057525637,0.09908483592683189,0.0035468340295757707,1482.9178329418307,0.0009948029029063646,0.0004918962895805683,8.746522434487573e-07,-0.05072760581970215,-0.0041286413029265594,0,1508.6404596541654,89.30744111662314,0.0040078921444973315,0.11948623095605884,0.0582654888014461,-0.0041286413029265594,2.263351319697904e-07,0,-0.19823708901987389,0.20134922862052915,-0.21677238723843228
3,unique-sweep-12,2,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.8,0.8,0.11948623120483234,-0.1866243304896529,-0.04489415286845515,-0.047157466411590576,-1.9010970737436417,{'runtime': 12},9950,0,0.052076103481363246,0.058610126089352406,-0.02859823468438396,-0.10643257914125866,-0.1845515065112372,9950,0.010034395483825292,88.8872322487845,5248.536996577777,22.203114553777556,-0.2167723406056908,0.25436968182133507,25.43696818213351,0.009236141246714367,9950,0.01162291795213755,-5691.0297046289,0.00031116008908263227,0.20134899020195007,9580,-0.047157466411590576,3.233853628355953,0.999389350414276,-0.02821388840675354,0.020782172679901123,825.5164923796511,-0.2049364306623197,9950,0.009236141246714367,-0.024750113487243652,0.0006732435350266822,0.0006732435350266822,0.03233853628355953,0,0.0825360611598563,-0.05072766542434693,9950,9950,0.021278436167559735,9950,1686031589.701532,-6.272547761909664e-05,-0.0015607607728698276,8821.675384808028,12.791671991348268,0.10570881045098088,0.0035468234213579175,1482.9178309911504,0.0009948114842711598,0.0012231481595233664,2.6452524263828896e-05,-0.05072766542434693,-0.004128659110122649,0,1516.8727178225108,89.23873581202399,0.004546568190517099,0.11948623120483234,0.05826547261074493,-0.004128659110122649,0.0,0,-0.2049364306623197,0.20134899020195007,-0.2167723406056908
4,helpful-sweep-11,1,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.8,0.8,0.1194862301776359,-0.1866243304896529,-0.04489415655099123,-0.0471576452255249,-1.9010970421639295,{'runtime': 12},9950,0,0.052076102585989985,0.05891447791387775,-0.03100544718145639,-0.10643258483434712,-0.1845515065112372,9950,0.009947384077577457,88.88723220304895,5248.537135354045,22.046910667552556,-0.2167723590794901,0.25436967967526636,25.43696796752663,0.0062080356231954585,9950,0.01162292926480734,-5691.029602065698,0.000140575991739442,0.20134904980659485,9580,-0.0471576452255249,3.390057299974078,0.9995529651641846,-0.028116971254348755,0.019097208976745605,673.7350319431955,-0.21701017497975353,9950,0.0062080356231954585,-0.023154377937316895,0.0012967137422049216,0.0012967137422049216,0.03390057299974078,0,0.08253592985461498,-0.0507274866104126,9950,9950,-0.0015876999345801623,9950,1686031568.5891042,-1.6881685951375403e-05,-0.003606500963424592,8835.603806912784,12.86078715324402,0.09934014440362458,0.003546827623855847,1482.917834337018,0.0009948104597502065,0.003367792900583536,9.813207110161376e-05,-0.0507274866104126,-0.004128656984142539,0,1518.091089978794,89.24289756859363,0.004897657056474915,0.1194862301776359,0.05826547359050844,-0.004128656984142539,0.0,0,-0.21701017497975353,0.20134904980659485,-0.2167723590794901
5,cerulean-sweep-10,5,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.8,0.8,0.017537107348219918,-0.1866243304896529,-0.03174427843684319,-0.028665751218795776,-0.15330134699750547,{'runtime': 12},9950,0,0.0011218083703461868,0.061643027880567906,-0.02658945951147921,-0.047985730242805155,-0.1845515065112372,9950,0.021482164577337415,89.17171194660523,8864.000214019965,3.2701993618252,-0.2317054977792027,0.05329074876398073,5.3290748763980735,0.002200710260189966,9950,0.010437561660694806,-111.83130102005283,1.7665604039382756e-05,0.04141107201576233,9580,-0.028665751218795776,2.0588755145728737,1.0003105401992798,-0.03166589140892029,0.011018455028533936,604.3196610374894,-0.17322534763723232,9950,0.002200710260189966,-0.01757723093032837,0.00020462422662418164,0.00020462422662418164,0.02058875514572874,0,0.07529310035200243,-0.02181452512741089,9950,9950,0.00805630613808325,9950,1686031547.252358,0.0,-0.0006749661571637401,8848.173926879312,12.692728996276855,0.09414852906327484,0.007757283585467386,1506.7668437445282,0.0005012377807391841,0.0006548569152931037,2.443637831253663e-06,-0.02181452512741089,0.002930626890291005,0,1505.2683970916255,89.34932385844107,0.0006973264153865763,0.017537107348219918,0.05896494727555882,0.002930626890291005,4.0250055462820455e-05,0,-0.17322534763723232,0.04141107201576233,-0.2317054977792027
6,pretty-sweep-9,4,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.8,0.8,0.01753710837440832,-0.1866243304896529,-0.031744274963976804,-0.028665930032730103,-0.15330138421288575,{'runtime': 12},9950,0,0.001121808501632009,0.06100262218323573,-0.024845944699703748,-0.04798574648390293,-0.1845515065112372,9950,0.018273463071336336,89.17171193651149,8864.000209463544,2.7541314024420456,-0.2317054716253866,0.05329074686502234,5.329074686502234,0.0040495495795527135,9950,0.010437563531182656,-111.8315632133599,5.981583868103561e-05,0.04141107201576233,9580,-0.028665930032730103,2.5749432840601885,1.000524878501892,-0.02719020843505859,0.010723471641540527,356.4122773117989,-0.15407271845918993,9950,0.0040495495795527135,-0.000521242618560791,0.001760611181709824,0.001760611181709824,0.02574943284060189,0,0.07529315246199227,-0.02181452512741089,9950,9950,-0.05549161170534145,9950,1686031526.69814,0.0,-0.004105704956793806,8862.239641223925,12.717933893203735,0.05662921334757485,0.007757274786713899,1506.766842846741,0.0005012421112592525,0.003864984501702405,0.00018090461641036477,-0.02181452512741089,0.0029306395500621127,0,1501.9499463651057,89.25173245816048,0.0014200901883754122,0.01753710837440832,0.058964957592868975,0.0029306395500621127,-3.970737452618778e-05,0,-0.15407271845918993,0.04141107201576233,-0.2317054716253866
7,leafy-sweep-8,3,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.8,0.8,0.01753711090975916,-0.1866243304896529,-0.03174427258945524,-0.02866542339324951,-0.1533013726040316,{'runtime': 12},9950,0,0.00112180882599316,0.0591564644282122,-0.027262795094966215,-0.04798568339213993,-0.1845515065112372,9950,0.009781126106734954,89.1717119615312,8864.000208448082,3.402907107802452,-0.23170548720280376,0.053290749655424165,5.329074965542416,0.005722846039718331,9950,0.010437539118507462,-111.83151991932134,0.00011946120195712976,0.04141107201576233,9580,-0.02866542339324951,1.9261678577399637,1.0004262924194336,-0.028101414442062374,0.01847386360168457,473.84295013712415,-0.2126087829439238,9950,0.005722846039718331,-0.02566361427307129,0.004184186633007723,0.004184186633007723,0.019261678577399636,0,0.07529296031669072,-0.021814584732055664,9950,9950,-0.02565264126639205,9950,1686031505.8727932,0.0,-0.003604015895347847,8858.537728735208,13.170881271362305,0.07128357793586819,0.0077572800273196,1506.7668452293394,0.0005012320871944228,0.002462804253213492,0.0010217504401772253,-0.021814584732055664,0.002930610245792722,0,1500.0927650675249,89.22962508471582,0.00091777165228662,0.01753711090975916,0.05896493304569674,0.002930610245792722,-2.6359575713286176e-05,0,-0.2126087829439238,0.04141107201576233,-0.23170548720280376
8,major-sweep-7,2,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.8,0.8,0.017537109937346446,-0.1866243304896529,-0.031744270125497284,-0.028665810823440552,-0.15330134028421033,{'runtime': 12},9950,0,0.0011218087015871345,0.05096062342654538,-0.026061111446096658,-0.047985730248447885,-0.1845515065112372,9950,-0.025737070697001877,89.17171192602919,8864.000213951173,2.057616231475685,-0.23170547358291949,0.05329074866500658,5.329074866500658,0.0060450513343830664,9950,0.010437568771376133,-111.83126351720414,0.00013329158793097643,0.04141104221343994,9580,-0.028665810823440552,3.271458635024973,1.0002423524856567,-0.021358400583267212,0.004108935594558716,762.7597335075936,-0.20782191161631167,9950,0.0060450513343830664,-0.029746532440185547,-0.0061181233604114494,-0.0061181233604114494,0.03271458635024973,0,0.0752931670793412,-0.021814703941345215,9950,9950,0.012693043682286744,9950,1686031484.707237,0.0,-0.003956814008672696,8834.907006359896,13.210220098495483,0.20776620764988257,0.007757275445273427,1506.7668534980182,0.0005012396292815647,0.0016389864664262113,0.002184535954315508,-0.021814703941345215,0.0029306322942960713,0,1497.9742326950025,89.23540986430035,0.001775654786991565,0.017537109937346446,0.05896495014860391,0.0029306322942960713,4.711085421149619e-05,0,-0.20782191161631167,0.04141104221343994,-0.23170547358291949
9,crisp-sweep-6,1,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.8,0.8,0.01753710537181433,-0.1866243304896529,-0.03174426286137427,-0.02866557240486145,-0.153301362646226,{'runtime': 11},9950,0,0.0011218081174939735,0.060677038689513664,-0.027845396056301517,-0.04798572263679447,-0.1845515065112372,9950,0.012597089768307224,89.1717119746595,8864.000211289012,2.870732080636339,-0.23170550334179393,0.053290746591015264,5.329074659101527,0.010979843058176534,9950,0.010437636414710058,-111.83150932214666,0.0004397390363974178,0.04141107201576233,9580,-0.02866557240486145,2.458342578465188,1.0000388622283936,-0.02984979748725891,0.02661657333374023,474.4854341929813,-0.21466585263079613,9950,0.010979843058176534,-0.021187543869018555,0.011194212006253763,0.011194212006253763,0.024583425784651877,0,0.07529315052931064,-0.02181464433670044,9950,9950,-0.03648473324912155,9950,1686031462.814143,0.0,-0.010621155322811032,8860.602315719747,12.590404033660889,0.05750412112434551,0.0077572854568534015,1506.7668388754155,0.0005012364523439186,0.0028681768339768104,0.007313239452436805,-0.02181464433670044,0.0029306230068711836,0,1503.7221141284024,89.13819827124725,0.0012420037026036248,0.01753710537181433,0.058964946148730706,0.0029306230068711836,-1.9075660020462237e-05,0,-0.21466585263079613,0.04141107201576233,-0.23170550334179393
10,visionary-sweep-5,5,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.8,0.8,0.12517177924262485,-0.1866243304896529,-0.04462715903130335,-0.048322856426239014,-1.9237577050192232,{'runtime': 11},9950,0,0.0571499173171786,0.05940506764448855,-0.027343335499795368,-0.10558757461065175,-0.1845515065112372,9950,0.011199059891313406,88.86710600696429,5195.159069792423,21.8827331708906,-0.21181400716116264,0.25446240044891155,25.446240044891155,0.012898890594041533,9950,0.010903511303268644,-5716.781576952245,0.000606886495612002,0.20773163437843323,9580,-0.048322856426239014,3.563506874000556,1.0,-0.028603851795196533,0.01931014657020569,-158.75187259386882,-0.24170120751870133,9950,0.012898890594041533,-0.02791774272918701,-0.0009128558392667224,-0.0009128558392667224,0.035635068740005556,0,0.09182779123345047,-0.053965210914611816,9950,9950,-0.1278026296181097,9950,1686031441.234358,0.0,-0.011720263027389698,8861.245366989624,12.403953075408936,0.11124308849102647,0.0025085566983018464,1488.7573451565452,0.0007626843898756657,0.01106474397147789,4.863256029980621e-05,-0.053965210914611816,-0.003615022958605976,0,1509.278061962626,89.24303526368335,0.0030504272817164064,0.12517177924262485,0.0577404558126619,-0.003615022958605976,0.0,0,-0.24170120751870133,0.20773163437843323,-0.21181400716116264
11,logical-sweep-4,4,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.8,0.8,0.12517179458942146,-0.1866243304896529,-0.044627211223634465,-0.04832163453102112,-1.9237576921131028,{'runtime': 11},9950,0,0.05714993133101169,0.058457701895056814,-0.024755095457475795,-0.10558761130044168,-0.1845515065112372,9950,0.010249560645011242,88.86710610281062,5195.159147464708,22.004229583750263,-0.21181396903786823,0.25446239945867843,25.446239945867845,0.004470955853836789,9950,0.010903594519607117,-5716.781554702934,7.291275674747817e-05,0.20773229002952576,9580,-0.04832163453102112,3.4420103621175793,1.0,-0.02760055661201477,0.008147776126861572,290.6752717990667,-0.21291919415377333,9950,0.004470955853836789,-0.024541020393371586,-0.006500448922923779,-0.006500448922923779,0.03442010362117579,0,0.09182754168291606,-0.05396592617034912,9950,9950,-0.009673565988354211,9950,1686031420.975906,0.0,-0.005061002900424383,8855.162460294676,12.466029167175291,0.11003473909937415,0.002508549404844602,1488.7573554819269,0.0007626928720651403,0.0025219972121051887,0.0024660929315717165,-0.05396592617034912,-0.003615043060777229,0,1512.2886798116674,89.41900464855858,0.0028650879549364976,0.12517179458942146,0.057740447077483534,-0.003615043060777229,0.0,0,-0.21291919415377333,0.20773229002952576,-0.21181396903786823
12,elated-sweep-3,3,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.8,0.8,0.12517178195012413,-0.1866243304896529,-0.04462714912346272,-0.04832124710083008,-1.9237576878688825,{'runtime': 11},9950,0,0.057149919789514815,0.05790455806895923,-0.020732691198116295,-0.10558757330461443,-0.1845515065112372,9950,0.008891795259609498,88.86710605040905,5195.159165114084,22.463038066953924,-0.2118140183726765,0.25446240236940804,25.446240236940803,0.0035401241079859595,9950,0.01090366587225582,-5716.781513383789,4.571300073062342e-05,0.20773246884346008,9580,-0.04832124710083008,2.983202169986877,1.0,-0.02702975273132324,0.0028689205646514893,-185.03005381541564,-0.18135283023758067,9950,0.0035401241079859595,-0.023118436336517337,-0.007264824536854039,-0.007264824536854039,0.02983202169986877,0,0.0918279000642976,-0.053965747356414795,9950,9950,-0.1025916323234688,9950,1686031399.474527,0.0,-0.003227232094924813,8867.785106437263,12.437208890914915,0.10714226853776776,0.0025085588432049856,1488.7573583374012,0.000762682705174256,0.00010136107750814284,0.0030801580166860466,-0.053965747356414795,-0.003615018965973034,0,1495.2825938276997,89.4569464116571,0.00255166718685467,0.12517178195012413,0.05774047200011865,-0.003615018965973034,0.0,0,-0.18135283023758067,0.20773246884346008,-0.2118140183726765
13,sandy-sweep-2,2,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.8,0.8,0.12517179346125024,-0.1866243304896529,-0.04462717213471907,-0.04832145571708679,-1.9237576914064989,{'runtime': 12},9950,0,0.05714993030082901,0.05866254346519316,-0.021494322079866103,-0.10558760583311276,-0.1845515065112372,9950,0.009667512237343226,88.86710609840031,5195.159240957682,22.680118691121887,-0.21181397467963275,0.2544623981786754,25.44623981786754,0.00014161654786679214,9950,0.01090377162287326,-5716.781463977896,7.315276776339467e-08,0.20773234963417053,9580,-0.04832145571708679,2.7661211267456536,1.0,-0.027526438236236572,0.0012927651405334473,-291.87838347589883,-0.19603906745595895,9950,0.00014161654786679214,-0.020504415035247803,-0.003776405996106114,-0.003776405996106114,0.027661211267456538,0,0.09182729207546758,-0.05396580696105957,9950,9950,-0.12532021598353513,9950,1686031378.106261,0.0,-0.001155683536753252,8859.102132729226,12.61186408996582,0.09522208026979773,0.0025085504841831936,1488.757352642443,0.0007626914899884954,0.00032330999982715047,0.0008323003841583382,-0.05396580696105957,-0.0036150397853638673,0,1504.7079421981496,89.42339417452817,0.002016510870427905,0.12517179346125024,0.057740455561574006,-0.0036150397853638673,0.0,0,-0.19603906745595895,0.20773234963417053,-0.21181397467963275
14,different-sweep-1,1,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.8,0.8,0.12517179566746284,-0.1866243304896529,-0.04462717765862901,-0.04832121729850769,-1.9237576909500596,{'runtime': 11},9950,0,0.05714993231541863,0.05770149374400224,-0.016851721084083077,-0.10558762562511344,-0.1845515065112372,9950,0.007069574968136435,88.86710611971162,5195.159203761385,23.014656848499673,-0.21181397093752943,0.2544623984708528,25.446239847085277,0.00022361912353456364,9950,0.01090373215709264,-5716.781496522509,1.8239823741815785e-07,0.2077325284481049,9580,-0.04832121729850769,2.431582998585605,1.0,-0.02647969126701355,-0.003876954317092895,42.585835930484635,-0.1681723939875541,9950,0.00022361912353456364,-0.021431922912597656,-0.0011999173188368168,-0.0011999173188368168,0.024315829985856047,0,0.09182757684509976,-0.05396562814712525,9950,9950,-0.05138704649090287,9950,1686031356.856818,0.0,-0.001326110749372018,8863.977056432897,12.542530059814451,0.10270435655768197,0.0025085497682730113,1488.7573500930164,0.0007626949315700676,0.0012419000890285608,8.402826210603897e-05,-0.05396562814712525,-0.003615047941637036,0,1502.1124166494965,89.32603420382618,0.002188713880874888,0.12517179566746284,0.05774044831095412,-0.003615047941637036,1.7418919924239162e-06,0,-0.1681723939875541,0.2077325284481049,-0.21181397093752943
