,name,seed,agent,lr_a_high,lr_c_high,sac_model,task_train,action_scale,discount_factor,discount_factor_model,eval/beta_sq_error,eval/da,_timestamp,eval/theta,eval/dr,actor/idhp_w_0,citation_inputs/da,citation_states/r,citation_states/xe,online/beta_sq_error,eval/beta_ref,online/phi_ref,online_states/r,eval/phi_sq_error,online/mean_error,actor/idhp_w_2,learning/rewards,online_states/alpha,online/phi,learning/step,actor/idhp_w_1,hybrid_nmae,online/action_de,citation_inputs/step,eval/de,online_states/p,online_states/beta,citation_inputs/de,citation_states/alpha,eval/nmae,online_states/he,online_states/phi,online/theta_sq_error,citation_states/q,online_states/theta,citation_states/beta,train/step,online/beta_ref,citation_states/ye,citation_states/psi,_step,eval/phi,eval/step,citation_states/he,_runtime,online/theta,online/theta_ref,eval/beta,non_hybrid_nmae,citation_states/V,citation_states/phi,eval/reward,hybrid_improvement,online_states/step,eval/theta_ref,online_states/V,online/action_da,citation_states/p,citation_inputs/dr,_wandb,online/beta,online/step,citation_states/theta,eval/theta_sq_error,online/phi_sq_error,citation_states/step,online/nmae,online_states/q,online_states/ye,online_states/psi,eval/phi_ref,online/action_dr,online_states/xe
0,worthy-sweep-15,5,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,2.695169242008494e-06,-0.027449169754981996,1685997133.9603572,0.08545578468897416,0.16246679425239563,1.0002939701080322,-0.027449169754981996,-0.07410993539607998,566.1812107674807,0.0002689816737192252,0,-0.1866243304896529,-0.03723626251873318,0.3323140363770599,0.016032443368727542,0.00036968057975173,-0.019738334349936264,0.06056441916713152,-0.2594380282618968,9950,9.278643119614571e-05,7.149915108954466,-0.029344290494918823,9950,-0.051528871059417725,0.11493151708594898,0.005983226233758899,-0.051528871059417725,0.07127765496360168,0.34246055721712687,1516.7425197134714,-0.2594380282618968,0.00013057907992482636,0.03341985170434787,-0.0021468414746499483,0.08545578468897416,9950,0,-3033.559278390011,-4.496036050147413,9580,-0.48742664400024627,9950,1730.1430309384475,10.476463079452516,0.005983226233758899,0,0.00021489764283697568,34.246055721712686,88.85079859774463,-0.48742664400024627,-0.2471056933064964,27.09614061275822,9950,0,89.32942828870537,-0.026406589150428775,0.010618546126007438,0.16246679425239563,{'runtime': 9},-0.0021468414746499483,9950,0.00021489764283697568,0.026637023151209784,0.019338773596292217,9950,0.07149915108954466,0.01220390425563894,201.1981082207436,-0.04242282853987743,-0.1845515065112372,0.021832287311553955,8873.437171584834
1,charmed-sweep-14,4,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,2.695169242008494e-06,-0.027449169754981996,1685997108.187805,0.08545578468897416,0.16246679425239563,1.0008437633514404,-0.027449169754981996,-0.07410993539607998,566.1812107674807,3.400145050317386e-05,0,-0.1866243304896529,-0.05649802026794705,0.3323140363770599,0.039307282369927546,0.0008217361755669117,-0.1614448827105103,0.06321469983393932,-0.39606830688729205,9950,0.000102604586572852,12.09685964810932,-0.035548627376556396,9950,-0.051528871059417725,-0.020738183053614665,-0.01961964087783278,-0.051528871059417725,0.07127765496360168,0.34246055721712687,1505.1493996835302,-0.39606830688729205,0.001404057399988094,0.03341985170434787,0.0007632860992590717,0.08545578468897416,9950,0,-3033.559278390011,-4.496036050147413,9580,-0.48742664400024627,9950,1730.1430309384475,10.22074294090271,-0.01961964087783278,0,0.00021489764283697568,34.246055721712686,88.85079859774463,-0.48742664400024627,-0.2471056933064964,22.149196073603363,9950,0,89.46691412989212,0.006770658493041992,0.010618546126007438,0.16246679425239563,{'runtime': 9},0.0007632860992590717,9950,0.00021489764283697568,0.026637023151209784,0.16000682386001905,9950,0.12096859648109322,0.03225664708038637,-250.78229317708403,-0.023529108799786567,-0.1845515065112372,0.02822774648666382,8862.417274129702
2,good-sweep-13,3,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,2.695169242008494e-06,-0.027449169754981996,1685997086.9248052,0.08545578468897416,0.16246679425239563,1.000399112701416,-0.027449169754981996,-0.07410993539607998,566.1812107674807,5.045413623820958e-05,0,-0.1866243304896529,-0.04212538656607344,0.3323140363770599,0.016864385282808366,0.0005217763828113675,-0.04689960959698146,0.06283600025633385,-0.29988171880713693,9950,0.00011129630729556084,7.637864321498928,-0.031080633401870728,9950,-0.051528871059417725,0.11644185403620312,0.004089738570719895,-0.051528871059417725,0.07127765496360168,0.34246055721712687,1507.864311707343,-0.29988171880713693,6.100899208275903e-05,0.03341985170434787,-0.000929794598238148,0.08545578468897416,9950,0,-3033.559278390011,-4.496036050147413,9580,-0.48742664400024627,9950,1730.1430309384475,10.243009090423584,0.004089738570719895,0,0.00021489764283697568,34.246055721712686,88.85079859774463,-0.48742664400024627,-0.2471056933064964,26.60819140021376,9950,0,89.36558663889019,-0.026740810275077825,0.010618546126007438,0.16246679425239563,{'runtime': 9},-0.000929794598238148,9950,0.00021489764283697568,0.026637023151209784,0.046788146468660495,9950,0.07637864321498929,0.015463692846677212,72.31074792814401,-0.07179921280477888,-0.1845515065112372,0.022873640060424805,8874.274789456154
3,elated-sweep-12,2,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,2.695169242008494e-06,-0.027449169754981996,1685997065.723198,0.08545578468897416,0.16246679425239563,1.0000871419906616,-0.027449169754981996,-0.07410993539607998,566.1812107674807,0.0060314015626082886,0,-0.1866243304896529,-0.04105949301569707,0.3323140363770599,0.015549811710035624,0.0001799522724468261,-0.01793185186146911,0.06227389146110269,-0.24309299791548483,9950,8.6032654508017e-05,7.4860586538078175,-0.03062683343887329,9950,-0.051528871059417725,0.10320215255338096,0.008594510867748387,-0.051528871059417725,0.07127765496360168,0.34246055721712687,1502.154225339418,-0.24309299791548483,0.00026942946302051577,0.03341985170434787,-0.010165944937416458,0.08545578468897416,9950,0,-3033.559278390011,-4.496036050147413,9580,-0.48742664400024627,9950,1730.1430309384475,10.257699966430664,0.008594510867748387,0,0.00021489764283697568,34.246055721712686,88.85079859774463,-0.48742664400024627,-0.2471056933064964,26.75999706790487,9950,0,89.68337972305794,-0.024226036667823792,0.010618546126007438,0.16246679425239563,{'runtime': 9},-0.010165944937416458,9950,0.00021489764283697568,0.026637023151209784,0.011631020835840307,9950,0.07486058653807817,0.01721955384174884,173.15911565615687,-0.05630998689543073,-0.1845515065112372,0.030777066946029663,8890.835486514628
4,solar-sweep-11,1,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,2.695169242008494e-06,-0.027449169754981996,1685997046.5695128,0.08545578468897416,0.16246679425239563,1.0003395080566406,-0.027449169754981996,-0.07410993539607998,566.1812107674807,5.5527626335467166e-05,0,-0.1866243304896529,-0.03638088178732199,0.3323140363770599,0.01619963237825989,0.00041512626921758056,-0.027679769279959424,0.059822590545456016,-0.2736489332137159,9950,7.372516120085493e-05,6.917324844010326,-0.028867721557617188,9950,-0.051528871059417725,0.11540435535274608,0.00024741705946303144,-0.051528871059417725,0.07127765496360168,0.34246055721712687,1507.565410886908,-0.2736489332137159,2.2328627954295297e-07,0.03341985170434787,0.0009754234348179078,0.08545578468897416,9950,0,-3033.559278390011,-4.496036050147413,9580,-0.48742664400024627,9950,1730.1430309384475,10.616028785705566,0.00024741705946303144,0,0.00021489764283697568,34.246055721712686,88.85079859774463,-0.48742664400024627,-0.2471056933064964,27.32873087770236,9950,0,89.24845348700576,-0.025150910019874573,0.010618546126007438,0.16246679425239563,{'runtime': 9},0.0009754234348179078,9950,0.00021489764283697568,0.026637023151209784,0.027624018367344415,9950,0.06917324844010327,0.011965348766082911,38.346650567774425,-0.07920140032317767,-0.1845515065112372,0.013976812362670898,8881.77502448526
5,vague-sweep-10,5,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,0.0018129980669675,-0.011846613883972169,1685997028.88688,0.035593294442668025,0.06851032376289368,1.0016777515411377,-0.011846613883972169,-0.0395291939280982,5353.534917274994,2.0516023544817095e-05,0,-0.1866243304896529,-0.05536470907121838,0.1282200935677758,0.022257598641286833,-0.0007295573595911264,-0.0472610644239795,0.06640001558911987,-0.2991571136696708,9950,0.0,12.322795617956777,-0.0320584774017334,9950,-0.03002789616584778,0.0871502827983014,0.016959872537954734,-0.03002789616584778,0.057153072302219506,0.16958921528468004,1475.5493690579162,-0.2991571136696708,0.0010491749753403726,0.010878173820845483,0.0005929051537163738,0.035593294442668025,9950,0,-5463.943603384314,-1.829831030880086,9580,-0.3730786813455382,9950,1597.5909050478942,10.374656915664673,0.016959872537954734,0,-0.005573619301641759,16.958921528468004,89.0925341888985,-0.3730786813455382,-0.1562119448107134,4.636125910511227,9950,0,89.5542310557046,-0.02513808012008667,-0.00461638115248326,0.06851032376289368,{'runtime': 9},0.0005929051537163738,9950,-0.005573619301641759,0.004621033638302129,0.046191373425094315,9950,0.12322795617956776,0.016052857888432897,1143.250370629518,0.0744165816444547,-0.1845515065112372,0.05893400311470032,8787.941022651741
6,super-sweep-9,4,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,0.0018129980669675,-0.011846613883972169,1685997009.2965388,0.035593294442668025,0.06851032376289368,1.0012125968933103,-0.011846613883972169,-0.0395291939280982,5353.534917274994,0.00795452784217814,0,-0.1866243304896529,-0.04503974358817105,0.1282200935677758,0.021343272201303512,0.00045077194226905704,-0.034822217579655194,0.06963941645665363,-0.27102556466632677,9950,0.0,11.732027460966949,-0.03308477997779846,9950,-0.03002789616584778,0.10929186810148098,0.015567959422106148,-0.03002789616584778,0.057153072302219506,0.16958921528468004,1475.6352019758615,-0.27102556466632677,0.0008840282371902716,0.010878173820845483,0.011674702812639534,0.035593294442668025,9950,0,-5463.943603384314,-1.829831030880086,9580,-0.3730786813455382,9950,1597.5909050478942,10.191383838653564,0.015567959422106148,0,-0.005573619301641759,16.958921528468004,89.0925341888985,-0.3730786813455382,-0.1562119448107134,5.226894067501055,9950,0,89.55633331477152,-0.027618464827537537,-0.00461638115248326,0.06851032376289368,{'runtime': 9},0.011674702812639534,9950,-0.005573619301641759,0.004621033638302129,0.025983661500286782,9950,0.11732027460966948,0.01359810814255458,812.278935599687,0.014128670940480014,-0.1845515065112372,0.045373618602752686,8837.399620169614
7,drawn-sweep-8,3,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,0.0018129980669675,-0.011846613883972169,1685996991.702286,0.035593294442668025,0.06851032376289368,0.9998276829719543,-0.011846613883972169,-0.0395291939280982,5353.534917274994,5.90123780835606e-05,0,-0.1866243304896529,-0.04894156013578333,0.1282200935677758,0.025203705494070396,0.00014087295858189464,-0.02264575442025145,0.06058119859268506,-0.2648147523002422,9950,0.0,12.101574539876337,-0.03051033616065979,9950,-0.03002789616584778,0.06616369985424017,0.008862364872197706,-0.03002789616584778,0.057153072302219506,0.16958921528468004,1487.3611038380288,-0.2648147523002422,0.00028648507941155313,0.010878173820845483,-0.0010055650933853916,0.035593294442668025,9950,0,-5463.943603384314,-1.829831030880086,9580,-0.3730786813455382,9950,1597.5909050478942,9.973496913909912,0.008862364872197706,0,-0.005573619301641759,16.958921528468004,89.0925341888985,-0.3730786813455382,-0.1562119448107134,4.857346988591669,9950,0,89.29274235986637,-0.01852513551712036,-0.00461638115248326,0.06851032376289368,{'runtime': 9},-0.0010055650933853916,9950,-0.005573619301641759,0.004621033638302129,0.022300256962756337,9950,0.12101574539876336,0.016908526846836816,1334.5064298182392,0.11859424170051652,-0.1845515065112372,0.04488322138786316,8758.119202542503
8,hearty-sweep-7,2,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,0.0018129980669675,-0.011846613883972169,1685996972.580705,0.035593294442668025,0.06851032376289368,1.0005594491958618,-0.011846613883972169,-0.0395291939280982,5353.534917274994,0.00025775491306553774,0,-0.1866243304896529,-0.05208850699559807,0.1282200935677758,0.02543293057409845,0.001614452339708805,-0.02161879587117229,0.06215546281905799,-0.26255096693324564,9950,0.0,12.184055470666678,-0.03159976005554199,9950,-0.03002789616584778,0.06776393923572968,0.009560153812439996,-0.03002789616584778,0.057153072302219506,0.16958921528468004,1470.4878603248642,-0.26255096693324564,0.0003333746054367926,0.010878173820845483,-0.00210156151616831,0.035593294442668025,9950,0,-5463.943603384314,-1.829831030880086,9580,-0.3730786813455382,9950,1597.5909050478942,10.39192795753479,0.009560153812439996,0,-0.005573619301641759,16.958921528468004,89.0925341888985,-0.3730786813455382,-0.1562119448107134,4.774866057801326,9950,0,89.41968178911536,-0.01972838640213013,-0.00461638115248326,0.06851032376289368,{'runtime': 9},-0.00210156151616831,9950,-0.005573619301641759,0.004621033638302129,0.02102766635266996,9950,0.12184055470666676,0.017811203652778072,1060.4350226013603,0.09824512495393067,-0.1845515065112372,0.05048656463623047,8788.431005207647
9,swift-sweep-6,1,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,0.0018129980669675,-0.011846613883972169,1685996954.892424,0.035593294442668025,0.06851032376289368,0.9991468191146852,-0.011846613883972169,-0.0395291939280982,5353.534917274994,0.0011589218601024106,0,-0.1866243304896529,-0.04361367089814838,0.1282200935677758,0.027916600343421125,0.002793398220092058,-0.012665005535055972,0.058049556588281155,-0.24260989054890592,9950,0.0,11.76174894821857,-0.028219908475875854,9950,-0.03002789616584778,0.061508746069027224,-0.004480539440141674,-0.03002789616584778,0.057153072302219506,0.16958921528468004,1488.82457728776,-0.24260989054890592,7.322567176128899e-05,0.010878173820845483,-0.004456210610505636,0.035593294442668025,9950,0,-5463.943603384314,-1.829831030880086,9580,-0.3730786813455382,9950,1597.5909050478942,10.181203842163086,-0.004480539440141674,0,-0.005573619301641759,16.958921528468004,89.0925341888985,-0.3730786813455382,-0.1562119448107134,5.197172580249434,9950,0,89.33382006564212,-0.013152843713760376,-0.00461638115248326,0.06851032376289368,{'runtime': 9},-0.004456210610505636,9950,-0.005573619301641759,0.004621033638302129,0.011432858003192272,9950,0.11761748948218569,0.011566446459591576,1690.2726539941448,0.2166094193238984,-0.1845515065112372,0.023328810930252075,8677.273181901068
10,devout-sweep-5,5,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,2.1363115631110605,-0.01294406056404114,1685996929.322822,0.008355495846084393,0.022084861993789673,1.0001298189163208,-0.01294406056404114,-0.027109537406093148,6151.362492431772,0.002671276257900572,0,-0.1866243304896529,-0.04080193165831576,0.08632806837772956,0.010296129047661022,0.0,-0.04749008073876884,0.06265056509057346,-0.29743667217319586,9950,0.0005613414687104523,6.986986477696218,-0.030171245336532593,9950,0.013326376676559448,0.06716523320582743,-0.002820399193038598,0.013326376676559448,0.002365222658184687,0.3442169506206425,1491.6851472987223,-0.29743667217319586,2.901508979019789e-05,0.007259843387848183,0.0067654709421132025,0.008355495846084393,9950,0,-7337.997045383942,-1.462198333001055,9580,-0.3394312035737304,9950,433.9179640702275,10.091670751571655,-0.002820399193038598,0,-0.19132464958053977,34.42169506206425,138.97503126261378,-0.3394312035737304,-0.4365914023575652,27.434708584368035,9950,0,89.23233314334414,-0.015488612651824952,0.07797763566430714,0.022084861993789673,{'runtime': 9},0.0067654709421132025,9950,-0.19132464958053977,0.0002546520699192564,0.04478978939107808,9950,0.06986986477696218,0.014723204442046228,229.32624683953023,-0.057331557298261775,-0.1845515065112372,0.01954975724220276,8868.748284575635
11,likely-sweep-4,4,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,2.1363115631110605,-0.01294406056404114,1685996908.585384,0.008355495846084393,0.022084861993789673,1.0001418590545654,-0.01294406056404114,-0.027109537406093148,6151.362492431772,0.0006557007919384026,0,-0.1866243304896529,-0.03548931395159133,0.08632806837772956,0.006880089491691395,0.0,-0.023696411484889705,0.0610284024731916,-0.26609838008342784,9950,0.0006086942739784718,6.087881621967919,-0.028815269470214844,9950,0.013326376676559448,0.08709431915796852,0.0007855560904039072,0.013326376676559448,0.002365222658184687,0.3442169506206425,1490.4506565356005,-0.26609838008342784,2.2509049460677616e-06,0.007259843387848183,0.003351903331067476,0.008355495846084393,9950,0,-7337.997045383942,-1.462198333001055,9580,-0.3394312035737304,9950,433.9179640702275,10.624018907546995,0.0007855560904039072,0,-0.19132464958053977,34.42169506206425,138.97503126261378,-0.3394312035737304,-0.4365914023575652,28.333813440096332,9950,0,89.25376804455125,-0.019850733876228335,0.07797763566430714,0.022084861993789673,{'runtime': 9},0.003351903331067476,9950,-0.19132464958053977,0.0002546520699192564,0.023038459788005235,9950,0.060878816219679194,0.011765243814523868,360.29352069472634,-0.029489177170596296,-0.1845515065112372,0.018487662076950073,8865.839416008954
12,silvery-sweep-3,3,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,2.1363115631110605,-0.01294406056404114,1685996887.373051,0.008355495846084393,0.022084861993789673,0.9998123645782472,-0.01294406056404114,-0.027109537406093148,6151.362492431772,0.0001207235478058466,0,-0.1866243304896529,-0.04171231982636691,0.08632806837772956,0.012239616995446576,0.0,-0.02879287522209993,0.06078167001009281,-0.27527845223644937,9950,0.00037107907701283693,8.34589944164508,-0.0296933650970459,9950,0.013326376676559448,0.06650722354110616,0.0010391697576201343,0.013326376676559448,0.002365222658184687,0.3442169506206425,1496.5590720593957,-0.27527845223644937,3.938907243454615e-06,0.007259843387848183,-0.0014382508055817082,0.008355495846084393,9950,0,-7337.997045383942,-1.462198333001055,9580,-0.3394312035737304,9950,433.9179640702275,9.957726955413818,0.0010391697576201343,0,-0.19132464958053977,34.42169506206425,138.97503126261378,-0.3394312035737304,-0.4365914023575652,26.07579562041917,9950,0,89.3078810272231,-0.015792247653007508,0.07797763566430714,0.022084861993789673,{'runtime': 9},-0.0014382508055817082,9950,-0.19132464958053977,0.0002546520699192564,0.02866821276705063,9950,0.08345899441645081,0.014819380960489138,316.1127345794358,0.0033842566675906503,-0.1845515065112372,0.02775976061820984,8864.016050282986
13,dutiful-sweep-2,2,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,2.1363115631110605,-0.01294406056404114,1685996870.0473511,0.008355495846084393,0.022084861993789673,1.0000834465026855,-0.01294406056404114,-0.027109537406093148,6151.362492431772,4.081519885836083e-06,0,-0.1866243304896529,-0.0343926197219119,0.08632806837772956,0.007697256588012758,0.0,-0.017381792358718198,0.060075088031144225,-0.25562247131045673,9950,0.0006260524969547987,6.5216883587330114,-0.0282214879989624,9950,0.013326376676559448,0.08853309840334052,0.0018586707736171968,0.013326376676559448,0.002365222658184687,0.3442169506206425,1495.7587988631312,-0.25562247131045673,1.2601077870499843e-05,0.007259843387848183,0.00026445366451284714,0.008355495846084393,9950,0,-7337.997045383942,-1.462198333001055,9580,-0.3394312035737304,9950,433.9179640702275,9.93440318107605,0.0018586707736171968,0,-0.19132464958053977,34.42169506206425,138.97503126261378,-0.3394312035737304,-0.4365914023575652,27.90000670333124,9950,0,89.2841421551533,-0.02035048305988312,0.07797763566430714,0.022084861993789673,{'runtime': 9},0.00026445366451284714,9950,-0.19132464958053977,0.0002546520699192564,0.017365109760961863,9950,0.06521688358733012,0.010894429279714743,765.0249673708919,0.062360496620405485,-0.1845515065112372,0.018305957317352295,8833.660688323283
14,worthy-sweep-1,1,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,2.1363115631110605,-0.01294406056404114,1685996844.6897762,0.008355495846084393,0.022084861993789673,1.0001156330108645,-0.01294406056404114,-0.027109537406093148,6151.362492431772,0.017492693408608564,0,-0.1866243304896529,-0.04727869945684298,0.08632806837772956,0.010079464579832626,0.0,-0.05360669224558033,0.06627419385167466,-0.2860115877749671,9950,0.0006524657947011292,7.678652199302097,-0.030871421098709103,9950,0.013326376676559448,0.06590297781840582,0.004799053949628204,0.013326376676559448,0.002365222658184687,0.3442169506206425,1499.843890278113,-0.2860115877749671,8.400671835645219e-05,0.007259843387848183,0.017312786492440484,0.008355495846084393,9950,0,-7337.997045383942,-1.462198333001055,9580,-0.3394312035737304,9950,433.9179640702275,10.094637155532835,0.004799053949628204,0,-0.19132464958053977,34.42169506206425,138.97503126261378,-0.3394312035737304,-0.4365914023575652,26.743042862762156,9950,0,89.1396065004619,-0.017084676027297973,0.07797763566430714,0.022084861993789673,{'runtime': 9},0.017312786492440484,9950,-0.19132464958053977,0.0002546520699192564,0.03602999211861531,9950,0.07678652199302097,0.012572703157854711,54.11243936033913,-0.10359009675922291,-0.1845515065112372,0.03711751103401184,8869.549576533325
