,name,seed,agent,lr_a_high,lr_c_high,sac_model,task_train,action_scale,discount_factor,discount_factor_model,eval/dr,online/step,non_hybrid_nmae,citation_states/q,online/theta,online/beta_ref,online/action_de,online_states/step,eval/step,citation_states/V,citation_inputs/dr,eval/da,train/step,online/mean_error,online_states/phi,citation_states/xe,online/action_da,eval/theta_sq_error,citation_states/beta,citation_states/theta,eval/reward,actor/idhp_w_1,online/action_dr,citation_states/ye,online/phi_sq_error,online_states/theta,actor/idhp_w_0,online_states/V,online_states/p,eval/phi_sq_error,citation_states/alpha,eval/theta,eval/phi_ref,online_states/q,eval/phi,eval/beta_ref,eval/beta_sq_error,citation_states/r,online_states/psi,hybrid_improvement,citation_states/phi,_wandb,eval/de,online_states/xe,citation_states/he,online_states/alpha,_timestamp,eval/theta_ref,online_states/r,online/nmae,online/phi_ref,learning/rewards,citation_states/p,online/beta_sq_error,citation_states/psi,citation_inputs/step,eval/beta,actor/idhp_w_2,online/theta_ref,online_states/he,online_states/ye,citation_inputs/da,online/theta_sq_error,_step,online/beta,citation_inputs/de,online_states/beta,_runtime,eval/nmae,online/phi,hybrid_nmae,learning/step,citation_states/step
0,spring-sweep-15,5,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,0.2602023780345917,9950,45.6928174999631,0.039630846469263424,0.0034203824970390363,0,-0.02761104702949524,9950,9950,88.80178060435749,0.2602023780345917,-0.04018141627311707,9950,0.008543616987458376,-0.2583812939809383,-759.1372291914494,-0.020104470849037173,0.06354349340335047,0.1319879142356834,-0.0284319394230662,-0.3527016707611488,0.00010284280870109797,0.02469232678413391,-2263.6424000926236,0.018781525338661797,-0.010191016306264351,0.9997166991233826,89.41309269863424,0.08581063594483324,0.34671210949489495,0.07609537531208478,0.1319879142356834,-0.1845515065112372,0.011521582997530158,-0.49389612084270473,0,0.0471775852797286,-0.09468600644612624,0.08486183732193785,39.795924316807586,-0.49389612084270473,{'runtime': 11},-0.06664645671844482,8794.767339374419,1747.8180609344618,0.057750918142705075,1685997242.742461,0,-0.03849185312421509,0.058968931831555126,-0.1866243304896529,-0.02488538590240506,0.006000337863727838,0.006061187668840673,-4.857393719033577,9950,-0.0284319394230662,-2.300046617165208e-05,0,1515.7178196717562,1054.7463717876428,-0.04018141627311707,4.2672894902591e-05,9580,-0.010191016306264351,-0.06664645671844482,0.0034203824970390363,11.925945043563845,0.45692817499963095,-0.2583812939809383,5.8968931831555125,9950,9950
1,visionary-sweep-14,4,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,0.2602023780345917,9950,45.6928174999631,0.039630846469263424,-0.008265049309652788,0,-0.030134767293930057,9950,9950,88.80178060435749,0.2602023780345917,-0.04018141627311707,9950,0.015919408360535254,-0.31927838256173036,-759.1372291914494,-0.01026269793510437,0.06354349340335047,0.1319879142356834,-0.0284319394230662,-0.3527016707611488,0.0,0.01564541459083557,-2263.6424000926236,0.06418651501889676,-0.005771376368764579,0.9996502995491028,89.33921643566876,0.04504776427864559,0.34671210949489495,0.07609537531208478,0.1319879142356834,-0.1845515065112372,0.015437165690912582,-0.49389612084270473,0,0.0471775852797286,-0.09468600644612624,0.04042243491603857,38.28246937314026,-0.49389612084270473,{'runtime': 11},-0.06664645671844482,8819.165268965879,1747.8180609344618,0.05844382181970512,1685997221.442983,0,-0.043032345152493386,0.07410348126822837,-0.1866243304896529,-0.066379617886352,0.006000337863727838,0.0019439340716923235,-4.857393719033577,9950,-0.0284319394230662,-5.9823152696480975e-05,0,1504.2768151879543,833.2277134439832,-0.04018141627311707,0.00024916879576290606,9580,-0.005771376368764579,-0.06664645671844482,-0.008265049309652788,11.890115976333618,0.45692817499963095,-0.31927838256173036,7.410348126822837,9950,9950
2,olive-sweep-13,3,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,0.2602023780345917,9950,45.6928174999631,0.039630846469263424,0.0032828256565111216,0,-0.030923575162887573,9950,9950,88.80178060435749,0.2602023780345917,-0.04018141627311707,9950,0.008778151902114702,-0.289363401950588,-759.1372291914494,-0.01931421756744385,0.06354349340335047,0.1319879142356834,-0.0284319394230662,-0.3527016707611488,0.0,0.030792683362960815,-2263.6424000926236,0.038501178925230584,-0.013864659881602449,0.999756157398224,89.50440118836777,0.07790533983186443,0.34671210949489495,0.07609537531208478,0.1319879142356834,-0.1845515065112372,0.017882382788049978,-0.49389612084270473,0,0.0471775852797286,-0.09468600644612624,0.05782791201189651,39.576535455929005,-0.49389612084270473,{'runtime': 11},-0.06664645671844482,8813.152425666807,1747.8180609344618,0.05888463431992435,1685997200.135738,0,-0.044564366483327456,0.061162820440340965,-0.1866243304896529,-0.04975915347125628,0.006000337863727838,0.011218664966967502,-4.857393719033577,9950,-0.0284319394230662,-1.4861429917800706e-05,0,1506.374344256065,895.0114936173427,-0.04018141627311707,3.930957905819348e-05,9580,-0.013864659881602449,-0.06664645671844482,0.0032828256565111216,12.038498163223268,0.45692817499963095,-0.289363401950588,6.116282044034096,9950,9950
3,fast-sweep-12,2,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,0.2602023780345917,9950,45.6928174999631,0.039630846469263424,0.00807109302956157,0,-0.030078530311584473,9950,9950,88.80178060435749,0.2602023780345917,-0.04018141627311707,9950,0.00858874552288648,-0.24560074872746204,-759.1372291914494,-0.021894079446792603,0.06354349340335047,0.1319879142356834,-0.0284319394230662,-0.3527016707611488,0.00014159934653434902,0.03312000632286072,-2263.6424000926236,0.01268701759515049,-0.02123989312830732,0.9997652769088744,89.75407563590157,0.08992874925841969,0.34671210949489495,0.07609537531208478,0.1319879142356834,-0.1845515065112372,0.018215810025802616,-0.49389612084270473,0,0.0471775852797286,-0.09468600644612624,0.0392642805828327,39.52982884086698,-0.49389612084270473,{'runtime': 11},-0.06664645671844482,8826.314412585312,1747.8180609344618,0.05955270003647955,1685997178.82582,0,-0.04094681923998316,0.06162988659096116,-0.1866243304896529,-0.03925320642098327,0.006000337863727838,0.02632857732271647,-4.857393719033577,9950,-0.0284319394230662,-2.3360962586593818e-05,0,1499.868892780867,815.4007222025779,-0.04018141627311707,0.0002376115031163054,9580,-0.02123989312830732,-0.06664645671844482,0.00807109302956157,12.071470022201538,0.45692817499963095,-0.24560074872746204,6.162988659096116,9950,9950
4,deep-sweep-11,1,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,0.2602023780345917,9950,45.6928174999631,0.039630846469263424,0.0014223034121455885,0,-0.027664095163345337,9950,9950,88.80178060435749,0.2602023780345917,-0.04018141627311707,9950,0.008375820639399754,-0.2680634389350314,-759.1372291914494,-0.01889587938785553,0.06354349340335047,0.1319879142356834,-0.0284319394230662,-0.3527016707611488,4.258067929185927e-05,0.023296117782592773,-2263.6424000926236,0.0241918330395551,-0.006162742748570846,0.9997358322143556,89.33347318335484,0.08221339077484421,0.34671210949489495,0.07609537531208478,0.1319879142356834,-0.1845515065112372,0.011225213182148296,-0.49389612084270473,0,0.0471775852797286,-0.09468600644612624,0.03990844222293848,40.13303637520794,-0.49389612084270473,{'runtime': 11},-0.06664645671844482,8817.702355164241,1747.8180609344618,0.0580466161429415,1685997157.525682,0,-0.039121489593911,0.055597811247551567,-0.1866243304896529,-0.026415727590388023,0.006000337863727838,0.0022165157250052946,-4.857393719033577,9950,-0.0284319394230662,-2.4805583962006494e-05,0,1507.289607204433,865.5443974809732,-0.04018141627311707,7.378825827628638e-06,9580,-0.006162742748570846,-0.06664645671844482,0.0014223034121455885,12.221606969833374,0.45692817499963095,-0.2680634389350314,5.5597811247551565,9950,9950
5,driven-sweep-10,5,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,0.024869322776794434,9950,6.64912334830148,0.009756453358468775,-0.011358289736446049,0,-0.02746012806892395,9950,9950,89.19001545860364,0.024869322776794434,-0.009837156534194948,9950,0.006631667126152451,-0.2979791478071308,8729.226337066175,-0.021031007170677185,0.00016857078792720408,0.006798134937085142,0.0038752119115560784,-0.06651127190928019,-0.00035756308352574706,-0.008578687906265259,-1164.3453579570023,0.045229394623339546,-0.022695963025347956,0.9994864463806152,89.56814039302607,0.104323746605238,0.024632014296101543,0.059461481352233,0.006798134937085142,-0.1845515065112372,0.014081122924797866,-0.267765982906862,0,0.0008764227670663017,-0.026700392323626608,0.03525064426889887,0.8106043900325721,-0.267765982906862,{'runtime': 11},-0.027360141277313232,8845.924814458574,1524.0235810525155,0.05259661492282533,1685997136.682026,0,-0.029652012135881745,0.058385189582689075,-0.1866243304896529,-0.07576211462764881,0.02908208248803248,0.030062145231725543,-0.3883867237754012,9950,0.0038752119115560784,0.0,0,1497.18276921317,674.3671649095617,-0.009837156534194948,0.0004705747725837297,9580,-0.022695963025347956,-0.027360141277313232,-0.011358289736446049,12.468509912490845,0.06649123348301479,-0.2979791478071308,5.838518958268907,9950,9950
6,zany-sweep-9,4,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,0.024869322776794434,9950,6.64912334830148,0.009756453358468775,-0.014200038471661756,0,-0.025646567344665527,9950,9950,89.19001545860364,0.024869322776794434,-0.009837156534194948,9950,0.00559389553177149,-0.28988204480670815,8729.226337066175,-0.019025549292564392,0.00016857078792720408,0.006798134937085142,0.0038752119115560784,-0.06651127190928019,-0.0001192347626783885,-0.00924772024154663,-1164.3453579570023,0.03889087999646746,-0.010681865687786628,1.0016071796417236,89.48762382466766,0.102046884373472,0.024632014296101543,0.059461481352233,0.006798134937085142,-0.1845515065112372,0.004500344089567906,-0.267765982906862,0,0.0008764227670663017,-0.026700392323626608,0.02812574170823814,1.5204683009945592,-0.267765982906862,{'runtime': 11},-0.027360141277313232,8849.587762919802,1524.0235810525155,0.05457054599771004,1685997115.7489028,0,-0.03047908011981076,0.0512865504730692,-0.1866243304896529,-0.04628550038863302,0.02908208248803248,0.006659121881943707,-0.3883867237754012,9950,0.0038752119115560784,0.0,0,1494.4172639555122,630.2743533353544,-0.009837156534194948,0.0007354985102218526,9580,-0.010681865687786628,-0.027360141277313232,-0.014200038471661756,12.077133893966677,0.06649123348301479,-0.28988204480670815,5.12865504730692,9950,9950
7,hearty-sweep-8,3,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,0.024869322776794434,9950,6.64912334830148,0.009756453358468775,-0.013466910872398352,0,-0.023268908262252808,9950,9950,89.19001545860364,0.024869322776794434,-0.009837156534194948,9950,0.007711181358938887,-0.3143766277246561,8729.226337066175,-0.016609427332878113,0.00016857078792720408,0.006798134937085142,0.0038752119115560784,-0.06651127190928019,-0.0005866630235686898,-0.0011655092239379885,-1164.3453579570023,0.05953059071878213,-0.013556752985650282,1.0014920234680176,89.3767260079947,0.08600385437319215,0.024632014296101543,0.059461481352233,0.006798134937085142,-0.1845515065112372,-0.0026071815409707075,-0.267765982906862,0,0.0008764227670663017,-0.026700392323626608,0.01805386927633434,0.9736990619996212,-0.267765982906862,{'runtime': 11},-0.027360141277313232,8848.774420113483,1524.0235810525155,0.05033228808128426,1685997094.28273,0,-0.0365896228578871,0.056754242863018584,-0.1866243304896529,-0.07091801314106763,0.02908208248803248,0.010725908898673166,-0.3883867237754012,9950,0.0038752119115560784,0.0,0,1501.1095138832673,606.0660438955065,-0.009837156534194948,0.0006615135236123273,9580,-0.013556752985650282,-0.027360141277313232,-0.013466910872398352,11.97557020187378,0.06649123348301479,-0.3143766277246561,5.675424286301858,9950,9950
8,ancient-sweep-7,2,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,0.024869322776794434,9950,6.64912334830148,0.009756453358468775,-0.005681337430996747,0,-0.03986051678657532,9950,9950,89.19001545860364,0.024869322776794434,-0.009837156534194948,9950,0.012103778968762474,-0.3579309870028886,8729.226337066175,-0.016849535703659057,0.00016857078792720408,0.006798134937085142,0.0038752119115560784,-0.06651127190928019,-0.001324621494859457,0.016141265630722046,-1164.3453579570023,0.1070412650227569,0.006757663742377283,1.0040805339813232,89.43442473217362,0.07350977549722,0.024632014296101543,0.059461481352233,0.006798134937085142,-0.1845515065112372,0.04414133735101427,-0.267765982906862,0,0.0008764227670663017,-0.026700392323626608,0.02499922564376826,-0.42518055394357823,-0.267765982906862,{'runtime': 11},-0.027360141277313232,8834.530447046796,1524.0235810525155,0.07051301369336216,1685997073.040653,0,-0.044250729817885,0.07074303902245058,-0.1866243304896529,-0.10982411420241056,0.02908208248803248,0.00266511463093699,-0.3883867237754012,9950,0.0038752119115560784,0.0,0,1500.1392866932206,730.808366629047,-0.009837156534194948,0.00011773454871667954,9580,0.006757663742377283,-0.027360141277313232,-0.005681337430996747,11.878046989440918,0.06649123348301479,-0.3579309870028886,7.074303902245058,9950,9950
9,still-sweep-6,1,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,0.024869322776794434,9950,6.64912334830148,0.009756453358468775,-0.017656314956875828,0,-0.022489935159683228,9950,9950,89.19001545860364,0.024869322776794434,-0.009837156534194948,9950,0.009171649066536822,-0.33090478725315586,8729.226337066175,-0.013444602489471436,0.00016857078792720408,0.006798134937085142,0.0038752119115560784,-0.06651127190928019,-0.0008609445067122579,-0.006078779697418213,-1164.3453579570023,0.07593076448506343,-0.005270328950968091,1.0019135475158691,89.26201132372493,0.07531492039528373,0.024632014296101543,0.059461481352233,0.006798134937085142,-0.1845515065112372,-0.0025372195267651734,-0.267765982906862,0,0.0008764227670663017,-0.026700392323626608,0.04984741969672315,0.6261776928364622,-0.267765982906862,{'runtime': 11},-0.027360141277313232,8832.772143503207,1524.0235810525155,0.05190167233408379,1685997051.790109,0,-0.03554328326980336,0.060229456554650174,-0.1866243304896529,-0.0786889321798739,0.02908208248803248,0.0016210566185456885,-0.3883867237754012,9950,0.0038752119115560784,0.0,0,1510.1411938371762,753.3928898882291,-0.009837156534194948,0.0011371110762647765,9580,-0.005270328950968091,-0.027360141277313232,-0.017656314956875828,12.1043438911438,0.06649123348301479,-0.33090478725315586,6.022945655465017,9950,9950
10,revived-sweep-5,5,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,0.22542044520378113,9950,33.68929925327417,0.04082126485585833,0.00923215145171989,0,-0.02966484427452087,9950,9950,88.75412014789993,0.22542044520378113,-0.04695082306861878,9950,0.009836262618721238,-0.2967458305768785,59.164277198951815,-0.02218875885009766,0.057695072386801785,0.12576737127088028,-0.0005746538678160206,-0.2286707491289535,0.0,0.029646605253219604,-4663.691691341899,0.0442330608595015,-0.006393335335414093,1.0,89.31596710190293,0.0855166599442046,0.1948553503044028,0.07836199620992475,0.12576737127088028,-0.1845515065112372,0.015435600808156926,-0.4167184899196706,0,1.9272382490776544e-05,-0.06630120363865398,-0.1405626941423988,27.580132645046703,-0.4167184899196706,{'runtime': 11},-0.06535303592681885,8854.305874658114,1628.562347374753,0.05980142421185669,1685997030.787603,0,-0.03783159572066565,0.06109166608227467,-0.1866243304896529,-0.04692944276088954,0.04426758820172213,0.0023854905818685808,-3.6026094566875333,9950,-0.0005746538678160206,0.0,0,1501.4673466233453,-308.4796920937362,-0.04695082306861878,0.0003108913195194633,9580,-0.006393335335414093,-0.06535303592681885,0.00923215145171989,12.396529912948608,0.3368929925327417,-0.2967458305768785,6.109166608227467,9950,9950
11,serene-sweep-4,4,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,0.22542044520378113,9950,33.68929925327417,0.04082126485585833,0.005107713602799065,0,-0.028225868940353394,9950,9950,88.75412014789993,0.22542044520378113,-0.04695082306861878,9950,0.006617861544825175,-0.2650671357756085,59.164277198951815,-0.02312549650669098,0.057695072386801785,0.12576737127088028,-0.0005746538678160206,-0.2286707491289535,0.0,0.015401065349578856,-4663.691691341899,0.022444451088256594,-0.005789742396398862,1.0,89.3482161977915,0.09962914042199622,0.1948553503044028,0.07836199620992475,0.12576737127088028,-0.1845515065112372,0.011981079420120356,-0.4167184899196706,0,1.9272382490776544e-05,-0.06630120363865398,-0.11007957028080012,28.456176965411856,-0.4167184899196706,{'runtime': 12},-0.06535303592681885,8859.125556835608,1628.562347374753,0.05896692091023093,1685997009.996958,0,-0.030310795406150275,0.052331222878623136,-0.1866243304896529,-0.024495937364271497,0.04426758820172213,0.001956325969809299,-3.6026094566875333,9950,-0.0005746538678160206,0.0,0,1497.9341548945704,-208.704236235539,-0.04695082306861878,9.5160306205607e-05,9580,-0.005789742396398862,-0.06535303592681885,0.005107713602799065,12.909104108810425,0.3368929925327417,-0.2650671357756085,5.233122287862313,9950,9950
12,mild-sweep-3,3,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,0.22542044520378113,9950,33.68929925327417,0.04082126485585833,0.006656859859394534,0,-0.028222382068634033,9950,9950,88.75412014789993,0.22542044520378113,-0.04695082306861878,9950,0.013022572988133384,-0.2906087769271036,59.164277198951815,-0.02061310708522797,0.057695072386801785,0.12576737127088028,-0.0005746538678160206,-0.2286707491289535,0.0,0.03264293074607849,-4663.691691341899,0.039440237704922096,-0.010217703300914135,1.0,89.38429197239562,0.0821160631785721,0.1948553503044028,0.07836199620992475,0.12576737127088028,-0.1845515065112372,0.012866288401836469,-0.4167184899196706,0,1.9272382490776544e-05,-0.06630120363865398,-0.03710231889547453,26.269498001982527,-0.4167184899196706,{'runtime': 12},-0.06535303592681885,8860.448938773407,1628.562347374753,0.05824531406744827,1685996988.8944151,0,-0.04107122185338511,0.07419801251291647,-0.1866243304896529,-0.04569484883982791,0.04426758820172213,0.006092973836193201,-3.6026094566875333,9950,-0.0005746538678160206,0.0,0,1505.092373354985,38.565249173302036,-0.04695082306861878,0.00016163729871261864,9580,-0.010217703300914135,-0.06535303592681885,0.006656859859394534,12.98487424850464,0.3368929925327417,-0.2906087769271036,7.419801251291647,9950,9950
13,fresh-sweep-2,2,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,0.22542044520378113,9950,33.68929925327417,0.04082126485585833,0.003132105754965235,0,-0.027551233768463135,9950,9950,88.75412014789993,0.22542044520378113,-0.04695082306861878,9950,0.007376070902718336,-0.25832135363234543,59.164277198951815,-0.022887575626373297,0.057695072386801785,0.12576737127088028,-0.0005746538678160206,-0.2286707491289535,0.0,0.010802805423736572,-4663.691691341899,0.018750161107818124,-0.005911140103032763,1.0,89.34053398128606,0.10156780892946447,0.1948553503044028,0.07836199620992475,0.12576737127088028,-0.1845515065112372,0.010619238175954651,-0.4167184899196706,0,1.9272382490776544e-05,-0.06630120363865398,-0.010728585323739603,28.264419682837673,-0.4167184899196706,{'runtime': 12},-0.06535303592681885,8853.708050780555,1628.562347374753,0.05828132844935161,1685996967.7577012,0,-0.02856265095762728,0.054248795704365,-0.1866243304896529,-0.020825169468365465,0.04426758820172213,0.0020392254559629054,-3.6026094566875333,9950,-0.0005746538678160206,0.0,0,1505.120216683461,258.1710230888998,-0.04695082306861878,3.578290458443584e-05,9580,-0.005911140103032763,-0.06535303592681885,0.003132105754965235,12.898327112197876,0.3368929925327417,-0.25832135363234543,5.4248795704365,9950,9950
14,lively-sweep-1,1,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,"[1, 0.1, 1]",0.8,0.8,0.22542044520378113,9950,33.68929925327417,0.04082126485585833,0.0137969580071656,0,-0.03054004907608032,9950,9950,88.75412014789993,0.22542044520378113,-0.04695082306861878,9950,0.009164108751642627,-0.2796985904829392,59.164277198951815,-0.02401266992092133,0.057695072386801785,0.12576737127088028,-0.0005746538678160206,-0.2286707491289535,0.0,0.03577548265457153,-4663.691691341899,0.03159817058161935,-0.0006866743984238462,1.0,89.24771214317884,0.09035673597301914,0.1948553503044028,0.07836199620992475,0.12576737127088028,-0.1845515065112372,0.015152601529141054,-0.4167184899196706,0,1.9272382490776544e-05,-0.06630120363865398,-0.18759158569728152,27.579808979934395,-0.4167184899196706,{'runtime': 12},-0.06535303592681885,8840.933712553324,1628.562347374753,0.061263416775087134,1685996946.320363,0,-0.037484648316634554,0.06109490273339776,-0.1866243304896529,-0.032320024673808796,0.04426758820172213,2.7518480490834583e-05,-3.6026094566875333,9950,-0.0005746538678160206,0.0,0,1510.8337543904322,-552.8158254595046,-0.04695082306861878,0.0006943356116986103,9580,-0.0006866743984238462,-0.06535303592681885,0.0137969580071656,12.763813972473145,0.3368929925327417,-0.2796985904829392,6.109490273339776,9950,9950
