,name,seed,agent,lr_a_high,lr_c_high,sac_model,task_train,action_scale,discount_factor,discount_factor_model,eval/phi,learning/step,citation_states/beta,citation_states/step,citation_states/alpha,eval/de,non_hybrid_nmae,online_states/ye,online/phi_sq_error,citation_states/p,online_states/phi,citation_states/he,online_states/beta,eval/beta,hybrid_nmae,citation_states/r,online/theta_sq_error,eval/da,eval/nmae,eval/step,online/phi_ref,learning/rewards,online_states/psi,citation_states/phi,online_states/he,online/step,online/theta_ref,eval/phi_sq_error,citation_inputs/dr,_timestamp,train/step,online/beta,actor/idhp_w_0,online_states/r,online/action_dr,citation_inputs/da,online_states/step,online/beta_sq_error,eval/theta_ref,online/beta_ref,eval/beta_sq_error,citation_inputs/step,citation_states/theta,eval/reward,actor/idhp_w_1,online_states/xe,citation_inputs/de,eval/dr,_runtime,_wandb,online/phi,eval/beta_ref,online/action_da,eval/theta_sq_error,online_states/alpha,_step,eval/theta,eval/phi_ref,citation_states/ye,hybrid_improvement,online_states/V,online/action_de,citation_states/xe,citation_states/psi,online/nmae,online/theta,online_states/p,online_states/q,citation_states/V,online_states/theta,actor/idhp_w_2,citation_states/q,online/mean_error
0,swept-sweep-15,5,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.1977968824538203,9950,0.12306319779083272,9950,0.054917794155809,-0.04231963008642197,31.600891858877567,775.6576140054107,7.497442537322845e-05,0.08970554220843861,-0.19115805571362335,1213.1901667990294,0.007152320454546948,-0.03984468250709872,3.3802243171459248,-0.040867673207097555,0.00018659357447395127,-0.05250710248947144,0.31600891858877567,9950,-0.1866243304896529,-0.0016476490529098505,0.029165295149388107,-0.1977968824538203,1510.1130506752386,9950,0,0.0005435779251947687,0.2019887268543243,1685986841.106804,9950,-0.0048734099368362895,0.9993889331817628,-0.028557680186954787,0.01888573169708252,-0.05250710248947144,9950,0.0013860810530626703,0,0,0.09265385195943314,9950,-0.03984468250709872,-0.18757970168522276,1.2301450169616146e-06,8832.59348073124,-0.04231963008642197,0.2019887268543243,11.661675930023192,{'runtime': 8},-0.19115805571362335,0,-0.023569762706756592,0.05524069671506036,0.057719329766956415,9580,0.12306319779083272,-0.1845515065112372,-5684.010218412696,28.220667541731643,89.33193645240297,-0.027492275834083556,5431.498766610296,-1.8633245708151216,0.033802243171459245,0.007152320454546948,0.10306711658698654,0.009900974585891596,89.25063044687069,-0.0048734099368362895,-6.685294647468254e-05,0.011760159527334953,0.005282828705424974
1,revived-sweep-14,4,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.1977968824538203,9950,0.12306319779083272,9950,0.054917794155809,-0.04231963008642197,31.600891858877567,651.9449117184033,0.03099021056418174,0.08970554220843861,-0.278798850735961,1213.1901667990294,0.00804674857608949,-0.03984468250709872,4.478424153837993,-0.040867673207097555,0.00023618027233466944,-0.05250710248947144,0.31600891858877567,9950,-0.1866243304896529,-0.033152651531088324,-0.02910921303469942,-0.1977968824538203,1499.3128241500692,9950,0,0.0005435779251947687,0.2019887268543243,1685986818.7662468,9950,-0.005745081082735823,0.9994381070137024,-0.03949536895685917,0.02799999713897705,-0.05250710248947144,9950,0.0019262606945719136,0,0,0.09265385195943314,9950,-0.03984468250709872,-0.18757970168522276,0.0,8841.235563896278,-0.04231963008642197,0.2019887268543243,9.529404878616331,{'runtime': 8},-0.278798850735961,0,-0.025130510330200195,0.05524069671506036,0.06104492601638632,9580,0.12306319779083272,-0.1845515065112372,-5684.010218412696,27.122467705039575,89.36642973536627,-0.030819685757160185,5431.498766610296,-1.8633245708151216,0.04478424153837993,0.00804674857608949,0.10409275781056436,0.018004394178992415,89.25063044687069,-0.005745081082735823,-4.9147951358463615e-05,0.011760159527334953,0.006655071815269245
2,lively-sweep-13,3,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.1977968824538203,9950,0.12306319779083272,9950,0.054917794155809,-0.04231963008642197,31.600891858877567,623.7725158746659,0.0033567999613769222,0.08970554220843861,-0.21696054265724704,1213.1901667990294,0.005734455969658272,-0.03984468250709872,3.848859911223997,-0.040867673207097555,0.00011994639516812994,-0.05250710248947144,0.31600891858877567,9950,-0.1866243304896529,-0.008710145535190254,0.007667738259287456,-0.1977968824538203,1502.8124418375069,9950,0,0.0005435779251947687,0.2019887268543243,1685986801.5352352,9950,-0.009469576610986572,0.9991894364356996,-0.030714767517227383,0.017678499221801758,-0.05250710248947144,9950,0.005233399178645202,0,0,0.09265385195943314,9950,-0.03984468250709872,-0.18757970168522276,0.0,8843.5609863924,-0.04231963008642197,0.2019887268543243,9.528382062911987,{'runtime': 8},-0.21696054265724704,0,-0.02435439825057983,0.05524069671506036,0.05764250373426472,9580,0.12306319779083272,-0.1845515065112372,-5684.010218412696,27.75203194765357,89.42285295008696,-0.027556559443473815,5431.498766610296,-1.8633245708151216,0.03848859911223997,0.005734455969658272,0.10692072976905344,0.010661796948811511,89.25063044687069,-0.009469576610986572,-4.8585734475636855e-05,0.011760159527334953,0.004857205348088224
3,cosmic-sweep-12,2,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.1977968824538203,9950,0.12306319779083272,9950,0.054917794155809,-0.04231963008642197,31.600891858877567,607.3246567300085,0.0007719639217184601,0.08970554220843861,-0.1720765371105155,1213.1901667990294,0.008911650472904136,-0.03984468250709872,3.8283599351452646,-0.040867673207097555,0.00028968035528638674,-0.05250710248947144,0.31600891858877567,9950,-0.1866243304896529,-0.023282159095289995,-0.000291861050582977,-0.1977968824538203,1492.078721787367,9950,0,0.0005435779251947687,0.2019887268543243,1685986781.518678,9950,-0.019512624601220534,0.9994599223136902,-0.030249041733798245,0.020327478647232056,-0.05250710248947144,9950,0.022220514818285148,0,0,0.09265385195943314,9950,-0.03984468250709872,-0.18757970168522276,4.4075612095184624e-05,8849.503502067519,-0.04231963008642197,0.2019887268543243,9.8074848651886,{'runtime': 9},-0.1720765371105155,0,-0.021619558334350582,0.05524069671506036,0.055997625167833215,9580,0.12306319779083272,-0.1845515065112372,-5684.010218412696,27.772531923732306,89.63571333093724,-0.026589927077293397,5431.498766610296,-1.8633245708151216,0.038283599351452646,0.008911650472904136,0.10119603209642186,0.009700698545298406,89.25063044687069,-0.019512624601220534,-1.5245678696373943e-05,0.011760159527334953,0.005305242051815791
4,glowing-sweep-11,1,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.1977968824538203,9950,0.12306319779083272,9950,0.054917794155809,-0.04231963008642197,31.600891858877567,545.5784520410174,0.000609616409994393,0.08970554220843861,-0.19955219961356177,1213.1901667990294,0.005758759872623966,-0.03984468250709872,3.315666864288936,-0.040867673207097555,0.00012096526884175922,-0.05250710248947144,0.31600891858877567,9950,-0.1866243304896529,-0.0011537170892149534,-0.017824085294171794,-0.1977968824538203,1499.5211622435947,9950,0,0.0005435779251947687,0.2019887268543243,1685986764.1872718,9950,-0.0026926401453427457,0.999301016330719,-0.02862043475597596,0.017200052738189697,-0.05250710248947144,9950,0.0004231354103788013,0,0,0.09265385195943314,9950,-0.03984468250709872,-0.18757970168522276,0.0,8853.044346409177,-0.04231963008642197,0.2019887268543243,9.653048753738403,{'runtime': 9},-0.19955219961356177,0,-0.023111581802368164,0.05524069671506036,0.05788224210553596,9580,0.12306319779083272,-0.1845515065112372,-5684.010218412696,28.28522499458863,89.28741278616477,-0.027487376332283014,5431.498766610296,-1.8633245708151216,0.03315666864288936,0.005758759872623966,0.10175491077027696,0.009707757181840191,89.25063044687069,-0.0026926401453427457,-0.00010383404878666624,0.011760159527334953,0.005545759510964236
5,lunar-sweep-10,5,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.27511028705960605,9950,0.010870269534484122,9950,0.053770588803590424,-0.023828816413879395,6.386276062015522,595.1019417103621,0.0003102520093994123,0.05701726309547558,-0.17740167632026105,1418.5358842489609,-0.0052847049858685885,-0.02278355887125385,2.615685616162333,-0.03458601192750795,0.00010186951811816724,-0.016955852508544922,0.06386276062015522,9950,-0.1866243304896529,-0.01023587078345073,0.021789690278581807,-0.27511028705960605,1497.005388363,9950,0,0.02923159021433049,0.031111180782318115,1685986739.107706,9950,-0.012974100729618408,1.0003257989883425,-0.021593847078136885,-0.004177302122116089,-0.016955852508544922,9950,0.009823749255933153,0,0,0.030294644793946855,9950,-0.02278355887125385,-0.12192891269696488,-3.8680776924593374e-05,8852.789089194777,-0.023828816413879395,0.031111180782318115,9.772762060165403,{'runtime': 9},-0.17740167632026105,0,-0.016880273818969727,0.00043100606449985907,0.05875550833447861,9580,0.010870269534484122,-0.1845515065112372,-577.1072736969711,3.770590445853189,89.6420788360049,-0.02810811996459961,8905.851561891448,-0.25732832040447706,0.026156856161623332,-0.0052847049858685885,0.08350144164988163,0.013936795440047944,89.84042648315713,-0.012974100729618408,0.0,0.0065442343765082294,0.001429363823239509
6,celestial-sweep-9,4,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.27511028705960605,9950,0.010870269534484122,9950,0.053770588803590424,-0.023828816413879395,6.386276062015522,566.1591223723455,1.2138286534563576e-05,0.05701726309547558,-0.1848001100610009,1418.5358842489609,-0.0039546586999700565,-0.02278355887125385,2.239065519438966,-0.03458601192750795,5.704541871352171e-05,-0.016955852508544922,0.06386276062015522,9950,-0.1866243304896529,-0.004590076248071463,0.017601834665102265,-0.27511028705960605,1493.42402445489,9950,0,0.02923159021433049,0.031111180782318115,1685986683.271766,9950,-0.008801379009049683,1.000078797340393,-0.0226996982420246,-0.0016754567623138428,-0.016955852508544922,9950,0.004520892542823378,0,0,0.030294644793946855,9950,-0.02278355887125385,-0.12192891269696488,3.7739239360234937e-06,8859.034444830793,-0.023828816413879395,0.031111180782318115,9.822888851165771,{'runtime': 9},-0.1848001100610009,0,-0.01790940761566162,0.00043100606449985907,0.058349600778802,9580,0.010870269534484122,-0.1845515065112372,-577.1072736969711,4.1472105425765555,89.5174208138569,-0.028037327527999877,8905.851561891448,-0.25732832040447706,0.022390655194389663,-0.0039546586999700565,0.08857976578058205,0.012869622164207183,89.84042648315713,-0.008801379009049683,0.0,0.0065442343765082294,0.0012232486391470026
7,dainty-sweep-8,3,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.27511028705960605,9950,0.010870269534484122,9950,0.053770588803590424,-0.023828816413879395,6.386276062015522,566.9755557611397,0.002332302673752611,0.05701726309547558,-0.16133769329970327,1418.5358842489609,0.002038019579190779,-0.02278355887125385,2.2380566899679626,-0.03458601192750795,1.515023813613386e-05,-0.016955852508544922,0.06386276062015522,9950,-0.1866243304896529,-0.0029182913291491645,-0.002265658074959098,-0.27511028705960605,1500.621500261521,9950,0,0.02923159021433049,0.031111180782318115,1685986665.965508,9950,-0.003127484944037478,1.0003174543380735,-0.02102527412414054,0.0024317800998687744,-0.016955852508544922,9950,0.0005708384172604193,0,0,0.030294644793946855,9950,-0.02278355887125385,-0.12192891269696488,4.051089854328893e-05,8854.73542283105,-0.023828816413879395,0.031111180782318115,9.723630905151367,{'runtime': 9},-0.16133769329970327,0,-0.019348502159118652,0.00043100606449985907,0.06049268206088619,9580,0.010870269534484122,-0.1845515065112372,-577.1072736969711,4.14821937204756,89.41809448718499,-0.031191028654575348,8905.851561891448,-0.25732832040447706,0.022380566899679627,0.002038019579190779,0.10571120661859502,0.019811957650650473,89.84042648315713,-0.003127484944037478,0.0,0.0065442343765082294,0.001021740708076814
8,cosmic-sweep-7,2,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.27511028705960605,9950,0.010870269534484122,9950,0.053770588803590424,-0.023828816413879395,6.386276062015522,602.6242968998652,0.0005519949486129736,0.05701726309547558,-0.1743226009655737,1418.5358842489609,0.01104440542907193,-0.02278355887125385,3.613408064481291,-0.03458601192750795,0.0004449256431855571,-0.016955852508544922,0.06386276062015522,9950,-0.1866243304896529,-0.005480778804400592,-0.0184367284415426,-0.27511028705960605,1497.9100230181002,9950,0,0.02923159021433049,0.031111180782318115,1685986640.416867,9950,-0.00876525522828291,1.0004724264144895,-0.0315642296500551,0.010506480932235718,-0.016955852508544922,9950,0.004483858212602061,0,0,0.030294644793946855,9950,-0.02278355887125385,-0.12192891269696488,5.656150096911006e-05,8848.7550533281,-0.023828816413879395,0.031111180782318115,9.73300004005432,{'runtime': 9},-0.1743226009655737,0,-0.029246091842651367,0.00043100606449985907,0.05865238700469027,9580,0.010870269534484122,-0.1845515065112372,-577.1072736969711,2.7728679975342305,89.44735539802988,-0.031721337139606474,8905.851561891448,-0.25732832040447706,0.03613408064481292,0.01104440542907193,0.1992923107830019,0.011492051383337589,89.84042648315713,-0.00876525522828291,0.0,0.0065442343765082294,0.0020578130460168383
9,classic-sweep-6,1,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.27511028705960605,9950,0.010870269534484122,9950,0.053770588803590424,-0.023828816413879395,6.386276062015522,745.371177718017,0.001470033249627604,0.05701726309547558,-0.20669963775883335,1418.5358842489609,-0.0008218832534831119,-0.02278355887125385,2.630116674593826,-0.03458601192750795,2.463899663712094e-06,-0.016955852508544922,0.06386276062015522,9950,-0.1866243304896529,-0.0016078717438029388,0.021863276202644055,-0.27511028705960605,1509.461911222407,9950,0,0.02923159021433049,0.031111180782318115,1685986618.8528,9950,-0.001523025642354763,1.0001511573791504,-0.02228558767876079,-0.003714114427566528,-0.016955852508544922,9950,0.00013537459451162283,0,0,0.030294644793946855,9950,-0.02278355887125385,-0.12192891269696488,4.112873284611851e-05,8837.058783598422,-0.023828816413879395,0.031111180782318115,9.497535943984984,{'runtime': 8},-0.20669963775883335,0,-0.03856325149536133,0.00043100606449985907,0.0574461836699206,9580,0.010870269534484122,-0.1845515065112372,-577.1072736969711,3.756159387421696,89.27495975349679,-0.025649401545524596,8905.851561891448,-0.25732832040447706,0.02630116674593826,-0.0008218832534831119,0.2164731665138288,0.0025415814757155887,89.84042648315713,-0.001523025642354763,0.0,0.0065442343765082294,0.0013209652345025165
10,twilight-sweep-5,5,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.2178868241718863,9950,0.11880303474068706,9950,0.05598112715889854,-0.04402932375669479,29.302205715374356,-198.92586661010432,0.0024011232429689074,0.09250333455063724,-0.21228132895355695,1267.7633166291364,0.0015387384864893002,-0.03562240789186722,2.981816218794875,-0.0428680830621131,8.636392828826419e-06,-0.05243939161300659,0.2930220571537436,9950,-0.1866243304896529,-0.003905135134558819,-0.11433674054074386,-0.2178868241718863,1496.1637353298056,9950,0,0.0038048813179675633,0.19675830006599423,1685986598.478904,9950,-0.005061902331636162,1.0,-0.024148521061887467,0.004366427659988403,-0.05243939161300659,9950,0.0014953754987610856,0,0,0.07405754010482059,9950,-0.03562240789186722,-0.18690531775973496,0.0,8864.392256400613,-0.04402932375669479,0.19675830006599423,9.332546949386597,{'runtime': 8},-0.21228132895355695,0,-0.022546708583831787,0.05148228618296045,0.05783434447823342,9580,0.11880303474068706,-0.1845515065112372,-5563.582714181878,26.32038949657948,89.3589160002049,-0.02723223567008972,5631.581565591418,-1.8021123719975185,0.02981816218794875,0.0015387384864893002,0.1043497333630586,0.00973061860872957,89.01282759181605,-0.005061902331636162,0.0,0.01225415815660814,0.0020760802423821214
11,glorious-sweep-4,4,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.2178868241718863,9950,0.11880303474068706,9950,0.05598112715889854,-0.04402932375669479,29.302205715374356,-60.0291453023945,3.1640958603373906e-07,0.09250333455063724,-0.1863298046257224,1267.7633166291364,0.005189378334043607,-0.03562240789186722,2.8150080649295957,-0.0428680830621131,9.822757532928862e-05,-0.05243939161300659,0.2930220571537436,9950,-0.1866243304896529,-0.00231686838071433,-0.07766713855928661,-0.2178868241718863,1494.3290988123697,9950,0,0.0038048813179675633,0.19675830006599423,1685986581.383391,9950,-0.006165256626493654,1.0,-0.02144017524563029,0.00755038857460022,-0.05243939161300659,9950,0.0022183243957990075,0,0,0.07405754010482059,9950,-0.03562240789186722,-0.18690531775973496,0.0,8867.758026751662,-0.04402932375669479,0.19675830006599423,9.495876789093018,{'runtime': 8},-0.1863298046257224,0,-0.023028254508972168,0.05148228618296045,0.05730082760270458,9580,0.11880303474068706,-0.1845515065112372,-5563.582714181878,26.48719765044476,89.37775142011175,-0.026773202419281005,5631.581565591418,-1.8021123719975185,0.028150080649295955,0.005189378334043607,0.100200211692587,0.008493078742251912,89.01282759181605,-0.006165256626493654,0.0,0.01225415815660814,0.002071438640067431
12,faithful-sweep-3,3,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.2178868241718863,9950,0.11880303474068706,9950,0.05598112715889854,-0.04402932375669479,29.302205715374356,80.48837043579171,0.0011820599513666433,0.09250333455063724,-0.20462623169971011,1267.7633166291364,0.003684623533065819,-0.03562240789186722,3.9485286940057582,-0.0428680830621131,4.95209535289238e-05,-0.05243939161300659,0.2930220571537436,9950,-0.1866243304896529,-0.006457078840344904,-0.03470593240764962,-0.2178868241718863,1500.8509281533793,9950,0,0.0038048813179675633,0.19675830006599423,1685986560.79668,9950,-0.009462425456699826,1.0,-0.0241166455332058,0.007670313119888306,-0.05243939161300659,9950,0.005225497935449337,0,0,0.07405754010482059,9950,-0.03562240789186722,-0.18690531775973496,0.0,8864.948763926888,-0.04402932375669479,0.19675830006599423,9.49763298034668,{'runtime': 8},-0.20462623169971011,0,-0.02260977029800415,0.05148228618296045,0.057534584622168726,9580,0.11880303474068706,-0.1845515065112372,-5563.582714181878,25.353677021368597,89.45576249280218,-0.027271977066993712,5631.581565591418,-1.8021123719975185,0.03948528694005759,0.003684623533065819,0.10211884197227554,0.010180305307967971,89.01282759181605,-0.009462425456699826,0.0,0.01225415815660814,0.0033303292763695856
13,neat-sweep-2,2,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.2178868241718863,9950,0.11880303474068706,9950,0.05598112715889854,-0.04402932375669479,29.302205715374356,309.12234393710946,0.00019355733882610497,0.09250333455063724,-0.17933976849728916,1267.7633166291364,0.004249747265683971,-0.03562240789186722,2.9335462773042984,-0.0428680830621131,6.587626405036247e-05,-0.05243939161300659,0.2930220571537436,9950,-0.1866243304896529,-0.002115678211606426,-0.00032809912639525536,-0.2178868241718863,1499.0836156709229,9950,0,0.0038048813179675633,0.19675830006599423,1685986534.4910378,9950,-0.005639703000180271,1.0,-0.020298575394270643,0.004887878894805908,-0.05243939161300659,9950,0.0018562446087299588,0,0,0.07405754010482059,9950,-0.03562240789186722,-0.18690531775973496,0.0,8858.841065410812,-0.04402932375669479,0.19675830006599423,9.625317811965942,{'runtime': 8},-0.17933976849728916,0,-0.023371517658233643,0.05148228618296045,0.05748561957715032,9580,0.11880303474068706,-0.1845515065112372,-5563.582714181878,26.368659438070058,89.38633062712073,-0.02689039707183838,5631.581565591418,-1.8021123719975185,0.029335462773042983,0.004249747265683971,0.1033883540616177,0.008591484390660813,89.01282759181605,-0.005639703000180271,0.0,0.01225415815660814,0.0021779913304767647
14,amber-sweep-1,1,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.2178868241718863,9950,0.11880303474068706,9950,0.05598112715889854,-0.04402932375669479,29.302205715374356,-385.84996754874425,9.410673604829246e-05,0.09250333455063724,-0.191703690292583,1267.7633166291364,0.004152713890242577,-0.03562240789186722,3.090077180901407,-0.0428680830621131,6.290233633712493e-05,-0.05243939161300659,0.2930220571537436,9950,-0.1866243304896529,-0.00021246139701855865,-0.14288074266302386,-0.2178868241718863,1505.2390094137645,9950,0,0.0038048813179675633,0.19675830006599423,1685986518.075121,9950,-0.0009747618185302434,1.0,-0.02300087019764185,0.007382094860076904,-0.05243939161300659,9950,5.545232463314129e-05,0,0,0.07405754010482059,9950,-0.03562240789186722,-0.18690531775973496,0.0,8856.82767798246,-0.04402932375669479,0.19675830006599423,9.484916925430298,{'runtime': 8},-0.191703690292583,0,-0.021743059158325195,0.05148228618296045,0.05835419375681527,9580,0.11880303474068706,-0.1845515065112372,-5563.582714181878,26.21212853447295,89.29008413343875,-0.027685877680778504,5631.581565591418,-1.8021123719975185,0.03090077180901407,0.004152713890242577,0.09779393932650068,0.009867185360179498,89.01282759181605,-0.0009747618185302434,0.0,0.01225415815660814,0.0022595034714805746
