,name,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,_step,_wandb,_runtime,sac_nmae,idhp_nmae,_timestamp,nmae_improvement
0,elated-sweep-200,1e-05,0.8,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.034992933273315,16.011297433609993,10000000000.0,1685777192.724776,-9999999983.988705
1,dutiful-sweep-199,0.01,1e-05,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.052726030349731,16.011297433609993,20.179041919321463,1685777179.004767,-4.16774448571147
2,upbeat-sweep-198,0.7,0.4,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.9613001346588137,16.011297433609993,10000000000.0,1685777161.148261,-9999999983.988705
3,winter-sweep-197,0.0005,0.0001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},8.994734048843384,20.585377984797297,32.905835395081134,1685777146.548598,-12.320457410283836
4,worldly-sweep-196,0.0001,0.0001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.036115884780884,16.011297433609993,105.69618569390506,1685777125.879951,-89.68488826029507
5,swift-sweep-195,1e-05,1e-05,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},8.991047143936157,16.011297433609993,130.00189092174458,1685777104.198806,-113.99059348813458
6,grateful-sweep-194,0.6,0.6,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.7923359870910645,14.965543983462323,10000000000.0,1685777086.262738,-9999999985.034456
7,stoic-sweep-193,0.7,5e-05,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.010607242584229,20.585377984797297,5.558735055042488,1685777072.8596292,15.026642929754807
8,crisp-sweep-192,0.0001,0.5,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.165834665298462,20.585377984797297,10000000000.0,1685777055.2082298,-9999999979.41462
9,warm-sweep-191,0.7,0.005,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.065747261047363,20.585377984797297,6.839632791894708,1685777041.4551492,13.74574519290259
10,stellar-sweep-190,0.9,0.1,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 4},4.834910869598389,14.965543983462323,10000000000.0,1685777021.625418,-9999999985.034456
11,mild-sweep-189,0.0005,0.1,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.094990968704224,20.585377984797297,35.94140274837852,1685777004.1567569,-15.356024763581225
12,faithful-sweep-188,0.0005,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.138552188873293,16.011297433609993,66.31687389057241,1685776983.6067982,-50.30557645696241
13,misunderstood-sweep-187,5e-05,0.1,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.04427981376648,20.585377984797297,32.33160622748314,1685776962.763208,-11.746228242685843
14,peach-sweep-186,0.2,5e-05,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.14631199836731,14.965543983462323,4.025124421436794,1685776942.310526,10.940419562025529
15,eager-sweep-185,0.3,0.4,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.047156810760498,16.011297433609993,10000000000.0,1685776924.468721,-9999999983.988705
16,serene-sweep-184,0.4,0.9,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.8154499530792236,20.585377984797297,10000000000.0,1685776913.377671,-9999999979.41462
17,daily-sweep-183,0.6,0.2,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.128068685531616,14.965543983462323,17.06455532638058,1685776901.8787048,-2.099011342918258
18,light-sweep-182,0.9,0.5,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.993196964263916,14.965543983462323,10000000000.0,1685776881.428444,-9999999985.034456
19,proud-sweep-181,1e-05,0.2,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.321145057678224,20.585377984797297,298.82105942218703,1685776868.100086,-278.23568143738976
20,fanciful-sweep-180,0.7,0.5,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.941640853881836,14.965543983462323,10000000000.0,1685776850.1286788,-9999999985.034456
21,magic-sweep-179,5e-05,0.5,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.3216609954833984,16.011297433609993,10000000000.0,1685776839.725803,-9999999983.988705
22,splendid-sweep-178,0.3,0.7,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.9372107982635496,20.585377984797297,10000000000.0,1685776828.553619,-9999999979.41462
23,spring-sweep-177,0.6,0.3,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.411648988723755,14.965543983462323,10000000000.0,1685776818.140563,-9999999985.034456
24,amber-sweep-176,0.0001,0.5,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.191559076309204,16.011297433609993,10000000000.0,1685776807.124869,-9999999983.988705
25,autumn-sweep-175,0.0001,0.0005,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 9},9.721248865127563,20.585377984797297,33.28143703009277,1685776793.902422,-12.69605904529547
26,vocal-sweep-174,0.8,0.7,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.8514530658721924,16.011297433609993,10000000000.0,1685776775.4528,-9999999983.988705
27,colorful-sweep-173,0.3,0.4,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.0214290618896484,16.011297433609993,10000000000.0,1685776764.891079,-9999999983.988705
28,robust-sweep-172,0.0001,0.5,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.352673053741455,16.011297433609993,10000000000.0,1685776754.574125,-9999999983.988705
29,curious-sweep-171,0.01,0.0005,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 9},9.664792776107788,20.585377984797297,23.649381064320885,1685776741.248587,-3.0640030795235873
30,effortless-sweep-170,0.1,0.005,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 9},10.05900812149048,16.011297433609993,8.953501589025437,1685776721.0213592,7.057795844584556
31,lucky-sweep-169,0.9,0.5,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.186966896057129,16.011297433609993,10000000000.0,1685776702.1995058,-9999999983.988705
32,usual-sweep-168,0.9,0.6,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.8544278144836424,20.585377984797297,10000000000.0,1685776691.1672928,-9999999979.41462
33,absurd-sweep-167,0.0005,0.1,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.034165143966677,14.965543983462323,17.917709339003316,1685776676.681889,-2.952165355540993
34,unique-sweep-166,0.0001,0.005,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.292909145355225,16.011297433609993,69.80822807518089,1685776656.130099,-53.796930641570896
35,hardy-sweep-165,0.005,0.005,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.152065753936768,20.585377984797297,27.448854133692507,1685776635.410684,-6.863476148895209
36,jolly-sweep-164,0.0005,5e-05,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.043926000595093,14.965543983462323,35.454341607957026,1685776613.602289,-20.4887976244947
37,stellar-sweep-163,0.001,0.0005,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.103399991989136,14.965543983462323,28.10814107174012,1685776592.990953,-13.142597088277798
38,cool-sweep-162,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.43461012840271,16.011297433609993,8.01505219722735,1685776572.739694,7.996245236382643
39,snowy-sweep-161,0.01,0.0001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},8.983803033828735,16.011297433609993,15.673801917716798,1685776550.730062,0.3374955158931954
40,proud-sweep-160,0.1,0.05,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.42949604988098,20.585377984797297,8.12897196997375,1685776530.405258,12.456406014823548
41,snowy-sweep-159,0.005,0.9,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 2},3.405462741851806,14.965543983462323,10000000000.0,1685776508.2739809,-9999999985.034456
42,restful-sweep-158,0.01,1e-05,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.14372181892395,16.011297433609993,14.339027003421077,1685776492.588714,1.6722704301889166
43,treasured-sweep-157,5e-05,0.005,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.029641151428224,14.965543983462323,41.62667614279336,1685776471.878411,-26.661132159331032
44,peachy-sweep-156,0.9,0.005,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 9},9.80327010154724,20.585377984797297,5.186895683864993,1685776451.074825,15.398482300932304
45,cool-sweep-155,0.1,0.05,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.14335012435913,20.585377984797297,8.407996475093794,1685776429.7637131,12.177381509703505
46,clean-sweep-154,0.6,0.005,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.07340407371521,20.585377984797297,5.666146579628318,1685776409.031009,14.91923140516898
47,swept-sweep-153,0.05,5e-05,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.069354057312012,16.011297433609993,9.520910221766531,1685776387.323355,6.490387211843462
48,hearty-sweep-152,0.01,0.5,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.1108980178833,20.585377984797297,8.815343643120075,1685776365.614668,11.770034341677222
49,stellar-sweep-151,0.005,0.9,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.096694946289062,16.011297433609993,7.930230273775267,1685776344.986347,8.081067159834726
50,exalted-sweep-150,0.0005,0.5,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.2843470573425293,16.011297433609993,10000000000.0,1685776327.068077,-9999999983.988705
51,blooming-sweep-149,0.01,0.05,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.031944036483765,16.011297433609993,11.242509749739032,1685776312.041228,4.768787683870961
52,icy-sweep-148,5e-05,0.5,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.0488150119781494,14.965543983462323,10000000000.0,1685776294.426365,-9999999985.034456
53,stellar-sweep-147,0.1,0.005,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.096189022064207,16.011297433609993,7.818095667187574,1685776280.719063,8.193201766422419
54,frosty-sweep-146,0.2,0.0005,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.103360176086426,16.011297433609993,6.70441682093335,1685776260.03097,9.306880612676643
55,dark-sweep-145,5e-05,0.9,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.8027150630950928,14.965543983462323,10000000000.0,1685776241.991241,-9999999985.034456
56,sweepy-sweep-144,0.3,0.3,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.153072118759155,14.965543983462323,4.76207116633832,1685776228.604578,10.203472817124004
57,rose-sweep-143,0.3,0.9,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.843614101409912,16.011297433609993,10000000000.0,1685776210.547014,-9999999983.988705
58,misty-sweep-142,0.6,0.0001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.01272988319397,16.011297433609993,6.351216382487081,1685776197.060412,9.660081051122912
59,olive-sweep-141,0.4,0.0005,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.136454105377195,20.585377984797297,5.978757702229448,1685776175.620511,14.60662028256785
60,vocal-sweep-140,0.2,0.7,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.87477707862854,16.011297433609993,10000000000.0,1685776157.7687712,-9999999983.988705
61,swift-sweep-139,0.4,0.1,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 9},9.661236047744753,16.011297433609993,41.05905048672096,1685776144.833985,-25.04775305311097
62,comfy-sweep-138,0.2,0.4,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.1137781143188477,20.585377984797297,10000000000.0,1685776126.5985851,-9999999979.41462
63,serene-sweep-137,0.2,0.7,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.9393229484558103,16.011297433609993,10000000000.0,1685776115.777532,-9999999983.988705
64,summer-sweep-136,0.0005,0.6,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.109131097793579,16.011297433609993,10000000000.0,1685776105.3786602,-9999999983.988705
65,faithful-sweep-135,0.05,0.2,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.165205955505373,14.965543983462323,6.3517329373324145,1685776090.790299,8.613811046129909
66,misunderstood-sweep-134,0.2,0.0001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.033615112304688,16.011297433609993,8.792107594100978,1685776069.00284,7.219189839509015
67,fanciful-sweep-133,0.3,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.114199876785278,20.585377984797297,6.2404618699886845,1685776047.655686,14.344916114808612
68,bumbling-sweep-132,0.5,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.131574153900146,14.965543983462323,4.207858092947386,1685776026.893602,10.75768589051494
69,crimson-sweep-131,0.005,0.0001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.122029066085815,16.011297433609993,21.07513899003511,1685776005.154289,-5.063841556425118
70,noble-sweep-130,0.05,0.0005,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.070032835006714,20.585377984797297,11.83439025352793,1685775984.396875,8.750987731269367
71,vital-sweep-129,0.5,0.005,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.058145999908447,16.011297433609993,24.407109665865363,1685775963.725065,-8.39581223225537
72,serene-sweep-128,1e-05,5e-05,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.021996974945068,14.965543983462323,43.42498192929884,1685775942.095264,-28.459437945836513
73,denim-sweep-127,0.3,0.2,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.118244886398315,16.011297433609993,8.455458063988301,1685775921.499029,7.555839369621692
74,splendid-sweep-126,0.9,0.9,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.8406829833984375,16.011297433609993,10000000000.0,1685775903.613612,-9999999983.988705
75,jolly-sweep-125,0.4,0.6,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.8597080707550049,14.965543983462323,10000000000.0,1685775892.95121,-9999999985.034456
76,vague-sweep-124,0.6,0.0001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.300863981246948,14.965543983462323,5.16423837280897,1685775879.841619,9.801305610653356
77,honest-sweep-123,0.005,0.6,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.4986820220947266,14.965543983462323,10000000000.0,1685775862.346891,-9999999985.034456
78,logical-sweep-122,0.05,0.0001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 9},9.919124126434326,16.011297433609993,10.043353042053797,1685775848.156249,5.9679443915561965
79,eager-sweep-121,0.0001,0.9,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.7758300304412842,14.965543983462323,10000000000.0,1685775829.428023,-9999999985.034456
80,winter-sweep-120,0.001,0.5,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.364085912704468,16.011297433609993,10000000000.0,1685775819.360489,-9999999983.988705
81,lyric-sweep-119,0.3,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.233143091201782,20.585377984797297,6.837952653080516,1685775805.193804,13.74742533171678
82,sparkling-sweep-118,0.01,0.0001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.424792289733888,20.585377984797297,29.870284553806552,1685775783.0650492,-9.284906569009255
83,woven-sweep-117,0.4,0.0001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.303401947021484,20.585377984797297,4.939686510606723,1685775761.68884,15.645691474190574
84,deep-sweep-116,5e-05,0.2,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.365279197692873,16.011297433609993,250.46398605111003,1685775741.3506591,-234.45268861750003
85,frosty-sweep-115,0.1,0.9,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.193878173828125,14.965543983462323,10000000000.0,1685775722.7937212,-9999999985.034456
86,revived-sweep-114,0.005,0.8,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.354676008224487,16.011297433609993,5.9623420828574165,1685775708.666946,10.048955350752577
87,solar-sweep-113,0.5,0.6,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.147113084793091,20.585377984797297,10000000000.0,1685775690.16698,-9999999979.41462
88,warm-sweep-112,0.01,0.05,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.473822116851808,16.011297433609993,14.131103799308894,1685775676.186283,1.880193634301099
89,dark-sweep-111,0.0001,1e-05,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.016808986663818,14.965543983462323,42.221320978464384,1685775654.755884,-27.25577699500206
90,ruby-sweep-110,0.001,5e-05,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.021509885787964,14.965543983462323,27.831139265735057,1685775634.086356,-12.86559528227273
91,lucky-sweep-109,0.1,0.1,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 9},9.661571979522703,16.011297433609993,8.19369841026385,1685775613.105818,7.817599023346142
92,sparkling-sweep-108,0.05,0.5,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.424674272537231,14.965543983462323,7.468852562252026,1685775591.1987882,7.496691421210297
93,dandy-sweep-107,0.9,0.1,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 9},9.654631853103638,14.965543983462323,5.92519061739708,1685775570.768968,9.040353366065244
94,avid-sweep-106,0.3,0.2,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.217500925064089,14.965543983462323,10000000000.0,1685775548.709548,-9999999985.034456
95,rare-sweep-105,0.005,0.01,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.006584882736206,20.585377984797297,27.53004704888276,1685775528.046486,-6.944669064085463
96,ancient-sweep-104,0.8,0.0005,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.371315002441406,14.965543983462323,7.967740529497968,1685775507.536986,6.997803453964355
97,lively-sweep-103,0.2,0.5,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.242823839187622,14.965543983462323,4.011417596191338,1685775486.096763,10.954126387270986
98,gallant-sweep-102,0.6,0.9,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.8559482097625732,16.011297433609993,10000000000.0,1685775467.2982242,-9999999983.988705
