"train/step","dutiful-jazz-18 - _step","dutiful-jazz-18 - _step__MIN","dutiful-jazz-18 - _step__MAX","dutiful-jazz-18 - train/return","dutiful-jazz-18 - train/return__MIN","dutiful-jazz-18 - train/return__MAX","spring-monkey-16 - _step","spring-monkey-16 - _step__MIN","spring-monkey-16 - _step__MAX","spring-monkey-16 - train/return","spring-monkey-16 - train/return__MIN","spring-monkey-16 - train/return__MAX","wise-donkey-14 - _step","wise-donkey-14 - _step__MIN","wise-donkey-14 - _step__MAX","wise-donkey-14 - train/return","wise-donkey-14 - train/return__MIN","wise-donkey-14 - train/return__MAX","honest-fog-12 - _step","honest-fog-12 - _step__MIN","honest-fog-12 - _step__MAX","honest-fog-12 - train/return","honest-fog-12 - train/return__MIN","honest-fog-12 - train/return__MAX","sage-vortex-11 - _step","sage-vortex-11 - _step__MIN","sage-vortex-11 - _step__MAX","sage-vortex-11 - train/return","sage-vortex-11 - train/return__MIN","sage-vortex-11 - train/return__MAX"
"48999","48","48","48","-245.17697773910785","-245.17697773910785","-245.17697773910785","48","48","48","-128.17030649786108","-128.17030649786108","-128.17030649786108","48","48","48","-128.36499619093746","-128.36499619093746","-128.36499619093746","48","48","48","-135.468995719013","-135.468995719013","-135.468995719013","48","48","48","-126.3463310614224","-126.3463310614224","-126.3463310614224"
"49999","49","49","49","-128.83726214070114","-128.83726214070114","-128.83726214070114","49","49","49","-256.700645167584","-256.700645167584","-256.700645167584","49","49","49","-129.2331635857096","-129.2331635857096","-129.2331635857096","49","49","49","-134.613184922424","-134.613184922424","-134.613184922424","49","49","49","-123.81530769728914","-123.81530769728914","-123.81530769728914"
"50999","50","50","50","-132.79052052023178","-132.79052052023178","-132.79052052023178","50","50","50","-350.21585677679786","-350.21585677679786","-350.21585677679786","50","50","50","-121.35686066643751","-121.35686066643751","-121.35686066643751","50","50","50","-135.2655225514413","-135.2655225514413","-135.2655225514413","50","50","50","-4.977372167622551","-4.977372167622551","-4.977372167622551"
"51999","51","51","51","-251.85296443862967","-251.85296443862967","-251.85296443862967","51","51","51","-240.50170916295235","-240.50170916295235","-240.50170916295235","51","51","51","-239.04925241539303","-239.04925241539303","-239.04925241539303","51","51","51","-5.117235592367539","-5.117235592367539","-5.117235592367539","51","51","51","-4.889023658079484","-4.889023658079484","-4.889023658079484"
"52999","52","52","52","-130.3525182080632","-130.3525182080632","-130.3525182080632","52","52","52","-121.03835676650752","-121.03835676650752","-121.03835676650752","52","52","52","-125.00983072404419","-125.00983072404419","-125.00983072404419","52","52","52","-126.11363558493545","-126.11363558493545","-126.11363558493545","52","52","52","-129.55993391525817","-129.55993391525817","-129.55993391525817"
"53999","53","53","53","-242.26537814629395","-242.26537814629395","-242.26537814629395","53","53","53","-126.4401388071782","-126.4401388071782","-126.4401388071782","53","53","53","-123.80655892043939","-123.80655892043939","-123.80655892043939","53","53","53","-131.7360366542342","-131.7360366542342","-131.7360366542342","53","53","53","-241.82093827212833","-241.82093827212833","-241.82093827212833"
"54999","54","54","54","-122.03831755812845","-122.03831755812845","-122.03831755812845","54","54","54","-126.0416529326493","-126.0416529326493","-126.0416529326493","54","54","54","-253.84488582817096","-253.84488582817096","-253.84488582817096","54","54","54","-129.92175669659753","-129.92175669659753","-129.92175669659753","54","54","54","-236.96842228927238","-236.96842228927238","-236.96842228927238"
"55999","55","55","55","-129.87551151563756","-129.87551151563756","-129.87551151563756","55","55","55","-129.02052504361205","-129.02052504361205","-129.02052504361205","55","55","55","-127.61531720583977","-127.61531720583977","-127.61531720583977","55","55","55","-132.02566060726525","-132.02566060726525","-132.02566060726525","55","55","55","-291.21348706215633","-291.21348706215633","-291.21348706215633"
"56999","56","56","56","-129.21261857820278","-129.21261857820278","-129.21261857820278","56","56","56","-314.24538850949057","-314.24538850949057","-314.24538850949057","56","56","56","-121.76353717472885","-121.76353717472885","-121.76353717472885","56","56","56","-124.64242593503532","-124.64242593503532","-124.64242593503532","56","56","56","-235.39583502774056","-235.39583502774056","-235.39583502774056"
"57999","57","57","57","-124.11647038295273","-124.11647038295273","-124.11647038295273","57","57","57","-8.756593463227375","-8.756593463227375","-8.756593463227375","57","57","57","-129.71491640825838","-129.71491640825838","-129.71491640825838","57","57","57","-127.67433574374836","-127.67433574374836","-127.67433574374836","57","57","57","-128.5682342951612","-128.5682342951612","-128.5682342951612"
"58999","58","58","58","-7.1450482171734535","-7.1450482171734535","-7.1450482171734535","58","58","58","-351.5519230923409","-351.5519230923409","-351.5519230923409","58","58","58","-127.71618685488367","-127.71618685488367","-127.71618685488367","58","58","58","-240.9117310222866","-240.9117310222866","-240.9117310222866","58","58","58","-126.72615593153584","-126.72615593153584","-126.72615593153584"
"59999","59","59","59","-350.5222439167684","-350.5222439167684","-350.5222439167684","59","59","59","-133.58089356300252","-133.58089356300252","-133.58089356300252","59","59","59","-126.84450999156724","-126.84450999156724","-126.84450999156724","59","59","59","-237.87074350059197","-237.87074350059197","-237.87074350059197","59","59","59","-128.94801413442474","-128.94801413442474","-128.94801413442474"
"60999","60","60","60","-126.4307039775797","-126.4307039775797","-126.4307039775797","60","60","60","-134.04093920215962","-134.04093920215962","-134.04093920215962","60","60","60","-133.1527467521661","-133.1527467521661","-133.1527467521661","60","60","60","-122.48739055680832","-122.48739055680832","-122.48739055680832","60","60","60","-4.788670879276879","-4.788670879276879","-4.788670879276879"
"61999","61","61","61","-246.0801628389748","-246.0801628389748","-246.0801628389748","61","61","61","-236.0822658207435","-236.0822658207435","-236.0822658207435","61","61","61","-128.2129383541395","-128.2129383541395","-128.2129383541395","61","61","61","-235.44610356353655","-235.44610356353655","-235.44610356353655","61","61","61","-338.48284651561875","-338.48284651561875","-338.48284651561875"
"62999","62","62","62","-131.01615655491938","-131.01615655491938","-131.01615655491938","62","62","62","-125.92661862291948","-125.92661862291948","-125.92661862291948","62","62","62","-249.5475603659086","-249.5475603659086","-249.5475603659086","62","62","62","-244.37031896704136","-244.37031896704136","-244.37031896704136","62","62","62","-4.404823142837728","-4.404823142837728","-4.404823142837728"
"63999","63","63","63","-130.7132608779672","-130.7132608779672","-130.7132608779672","63","63","63","-235.89480638885672","-235.89480638885672","-235.89480638885672","63","63","63","-136.18380475260727","-136.18380475260727","-136.18380475260727","63","63","63","-7.1346407657665","-7.1346407657665","-7.1346407657665","63","63","63","-255.66603630823897","-255.66603630823897","-255.66603630823897"
"64999","64","64","64","-121.99119801262825","-121.99119801262825","-121.99119801262825","64","64","64","-239.23093082142648","-239.23093082142648","-239.23093082142648","64","64","64","-243.86889582415853","-243.86889582415853","-243.86889582415853","64","64","64","-124.32110555685838","-124.32110555685838","-124.32110555685838","64","64","64","-124.64041948267987","-124.64041948267987","-124.64041948267987"
"65999","65","65","65","-125.89724867737054","-125.89724867737054","-125.89724867737054","65","65","65","-242.54697925527609","-242.54697925527609","-242.54697925527609","65","65","65","-242.79606658376468","-242.79606658376468","-242.79606658376468","65","65","65","-127.83194472961793","-127.83194472961793","-127.83194472961793","65","65","65","-348.20038949289216","-348.20038949289216","-348.20038949289216"
"66999","66","66","66","-120.63293887821938","-120.63293887821938","-120.63293887821938","66","66","66","-128.08456813968067","-128.08456813968067","-128.08456813968067","66","66","66","-365.67283493682385","-365.67283493682385","-365.67283493682385","66","66","66","-234.9026623846284","-234.9026623846284","-234.9026623846284","66","66","66","-235.21838804696762","-235.21838804696762","-235.21838804696762"
"67999","67","67","67","-6.2898316157956","-6.2898316157956","-6.2898316157956","67","67","67","-126.916175223171","-126.916175223171","-126.916175223171","67","67","67","-6.0140568585976295","-6.0140568585976295","-6.0140568585976295","67","67","67","-130.59802720323145","-130.59802720323145","-130.59802720323145","67","67","67","-240.770635938434","-240.770635938434","-240.770635938434"
"68999","68","68","68","-126.3912835918105","-126.3912835918105","-126.3912835918105","68","68","68","-132.5515930918601","-132.5515930918601","-132.5515930918601","68","68","68","-130.05348732056112","-130.05348732056112","-130.05348732056112","68","68","68","-241.91963190471125","-241.91963190471125","-241.91963190471125","68","68","68","-226.27710371803047","-226.27710371803047","-226.27710371803047"
"69999","69","69","69","-238.3383190368588","-238.3383190368588","-238.3383190368588","69","69","69","-130.8558887157366","-130.8558887157366","-130.8558887157366","69","69","69","-125.01672395072669","-125.01672395072669","-125.01672395072669","69","69","69","-129.60716305290197","-129.60716305290197","-129.60716305290197","69","69","69","-238.5692462736442","-238.5692462736442","-238.5692462736442"
"70999","70","70","70","-126.82376964319708","-126.82376964319708","-126.82376964319708","70","70","70","-131.57631849872774","-131.57631849872774","-131.57631849872774","70","70","70","-120.98837966196517","-120.98837966196517","-120.98837966196517","70","70","70","-382.1138116129767","-382.1138116129767","-382.1138116129767","70","70","70","-121.21187382109034","-121.21187382109034","-121.21187382109034"
"71999","71","71","71","-129.7991900346908","-129.7991900346908","-129.7991900346908","71","71","71","-7.128909419057905","-7.128909419057905","-7.128909419057905","71","71","71","-239.2959106905962","-239.2959106905962","-239.2959106905962","71","71","71","-132.57043187517283","-132.57043187517283","-132.57043187517283","71","71","71","-126.73903686480763","-126.73903686480763","-126.73903686480763"
"72999","72","72","72","-130.09995643202498","-130.09995643202498","-130.09995643202498","72","72","72","-254.68270899561185","-254.68270899561185","-254.68270899561185","72","72","72","-130.38263107164065","-130.38263107164065","-130.38263107164065","72","72","72","-132.05367239141583","-132.05367239141583","-132.05367239141583","72","72","72","-126.6580960003565","-126.6580960003565","-126.6580960003565"
"73999","73","73","73","-7.608401239844308","-7.608401239844308","-7.608401239844308","73","73","73","-127.79782203231892","-127.79782203231892","-127.79782203231892","73","73","73","-7.216379384662686","-7.216379384662686","-7.216379384662686","73","73","73","-121.26063549492471","-121.26063549492471","-121.26063549492471","73","73","73","-127.43570879888665","-127.43570879888665","-127.43570879888665"
"74999","74","74","74","-130.6484902475264","-130.6484902475264","-130.6484902475264","74","74","74","-123.12925988197668","-123.12925988197668","-123.12925988197668","74","74","74","-126.37399572910867","-126.37399572910867","-126.37399572910867","74","74","74","-239.90501502162945","-239.90501502162945","-239.90501502162945","74","74","74","-129.96686021345303","-129.96686021345303","-129.96686021345303"
"75999","75","75","75","-234.8540488919417","-234.8540488919417","-234.8540488919417","75","75","75","-134.49043204634492","-134.49043204634492","-134.49043204634492","75","75","75","-236.10585809039813","-236.10585809039813","-236.10585809039813","75","75","75","-121.26632283607763","-121.26632283607763","-121.26632283607763","75","75","75","-4.798394542721687","-4.798394542721687","-4.798394542721687"
"76999","76","76","76","-232.53673735770073","-232.53673735770073","-232.53673735770073","76","76","76","-359.8142043811425","-359.8142043811425","-359.8142043811425","76","76","76","-120.20824485026642","-120.20824485026642","-120.20824485026642","76","76","76","-234.53010803944736","-234.53010803944736","-234.53010803944736","76","76","76","-126.64319234561752","-126.64319234561752","-126.64319234561752"
"77999","77","77","77","-127.37621437626817","-127.37621437626817","-127.37621437626817","77","77","77","-248.87470505074563","-248.87470505074563","-248.87470505074563","77","77","77","-6.691494528676262","-6.691494528676262","-6.691494528676262","77","77","77","-125.77998487512993","-125.77998487512993","-125.77998487512993","77","77","77","-124.34327964518235","-124.34327964518235","-124.34327964518235"
"78999","78","78","78","-124.59282495470077","-124.59282495470077","-124.59282495470077","78","78","78","-131.7714059210929","-131.7714059210929","-131.7714059210929","78","78","78","-126.86832160045836","-126.86832160045836","-126.86832160045836","78","78","78","-232.23178705717513","-232.23178705717513","-232.23178705717513","78","78","78","-125.98535075021643","-125.98535075021643","-125.98535075021643"
"79999","79","79","79","-125.38026717362419","-125.38026717362419","-125.38026717362419","79","79","79","-123.5887730435784","-123.5887730435784","-123.5887730435784","79","79","79","-6.324088867976684","-6.324088867976684","-6.324088867976684","79","79","79","-125.3488167795175","-125.3488167795175","-125.3488167795175","79","79","79","-234.353232556603","-234.353232556603","-234.353232556603"
"80999","80","80","80","-127.9546276711857","-127.9546276711857","-127.9546276711857","80","80","80","-349.48435672066563","-349.48435672066563","-349.48435672066563","80","80","80","-9.008420501713891","-9.008420501713891","-9.008420501713891","80","80","80","-126.17623752106941","-126.17623752106941","-126.17623752106941","80","80","80","-232.15193261234108","-232.15193261234108","-232.15193261234108"
"81999","81","81","81","-243.1720597451606","-243.1720597451606","-243.1720597451606","81","81","81","-8.408055201586324","-8.408055201586324","-8.408055201586324","81","81","81","-337.706581923372","-337.706581923372","-337.706581923372","81","81","81","-134.46219085510484","-134.46219085510484","-134.46219085510484","81","81","81","-254.0081232544264","-254.0081232544264","-254.0081232544264"
"82999","82","82","82","-5.831325744396249","-5.831325744396249","-5.831325744396249","82","82","82","-247.1019583334929","-247.1019583334929","-247.1019583334929","82","82","82","-124.24959339909537","-124.24959339909537","-124.24959339909537","82","82","82","-128.75027799132678","-128.75027799132678","-128.75027799132678","82","82","82","-239.62157202184727","-239.62157202184727","-239.62157202184727"
"83999","83","83","83","-235.31025544287792","-235.31025544287792","-235.31025544287792","83","83","83","-351.4848581552897","-351.4848581552897","-351.4848581552897","83","83","83","-124.28825251756429","-124.28825251756429","-124.28825251756429","83","83","83","-129.26967514199268","-129.26967514199268","-129.26967514199268","83","83","83","-121.26804909797602","-121.26804909797602","-121.26804909797602"
"84999","84","84","84","-128.72799415132917","-128.72799415132917","-128.72799415132917","84","84","84","-254.8436081758931","-254.8436081758931","-254.8436081758931","84","84","84","-6.852159163253267","-6.852159163253267","-6.852159163253267","84","84","84","-124.02601882646992","-124.02601882646992","-124.02601882646992","84","84","84","-119.66971591402393","-119.66971591402393","-119.66971591402393"
"85999","85","85","85","-123.71733183456027","-123.71733183456027","-123.71733183456027","85","85","85","-124.01220951765004","-124.01220951765004","-124.01220951765004","85","85","85","-130.42943062717356","-130.42943062717356","-130.42943062717356","85","85","85","-123.05925383660465","-123.05925383660465","-123.05925383660465","85","85","85","-123.65612364169532","-123.65612364169532","-123.65612364169532"
"86999","86","86","86","-130.368937224971","-130.368937224971","-130.368937224971","86","86","86","-124.3101351448828","-124.3101351448828","-124.3101351448828","86","86","86","-231.34075834061073","-231.34075834061073","-231.34075834061073","86","86","86","-127.35039863612477","-127.35039863612477","-127.35039863612477","86","86","86","-130.22067497591917","-130.22067497591917","-130.22067497591917"
"87999","87","87","87","-131.37827226770244","-131.37827226770244","-131.37827226770244","87","87","87","-128.1968482560856","-128.1968482560856","-128.1968482560856","87","87","87","-123.56715239190177","-123.56715239190177","-123.56715239190177","87","87","87","-122.79975649044373","-122.79975649044373","-122.79975649044373","87","87","87","-242.24160016362924","-242.24160016362924","-242.24160016362924"
"88999","88","88","88","-6.563535935025215","-6.563535935025215","-6.563535935025215","88","88","88","-125.15709297975191","-125.15709297975191","-125.15709297975191","88","88","88","-248.8166545230362","-248.8166545230362","-248.8166545230362","88","88","88","-130.7121380427958","-130.7121380427958","-130.7121380427958","88","88","88","-238.84733711633768","-238.84733711633768","-238.84733711633768"
"89999","89","89","89","-240.4515961255106","-240.4515961255106","-240.4515961255106","89","89","89","-247.21795212802868","-247.21795212802868","-247.21795212802868","89","89","89","-121.87272525967447","-121.87272525967447","-121.87272525967447","89","89","89","-5.693528319683155","-5.693528319683155","-5.693528319683155","89","89","89","-5.144397961106864","-5.144397961106864","-5.144397961106864"
"90999","90","90","90","-124.74130107307577","-124.74130107307577","-124.74130107307577","90","90","90","-6.751979551856332","-6.751979551856332","-6.751979551856332","90","90","90","-249.2200818340769","-249.2200818340769","-249.2200818340769","90","90","90","-243.85873113006602","-243.85873113006602","-243.85873113006602","90","90","90","-130.57039488984336","-130.57039488984336","-130.57039488984336"
"91999","91","91","91","-388.3932056496498","-388.3932056496498","-388.3932056496498","91","91","91","-6.702128527766319","-6.702128527766319","-6.702128527766319","91","91","91","-133.5885945510164","-133.5885945510164","-133.5885945510164","91","91","91","-128.4378438713916","-128.4378438713916","-128.4378438713916","91","91","91","-123.25066544420153","-123.25066544420153","-123.25066544420153"
"92999","92","92","92","-339.3444488700721","-339.3444488700721","-339.3444488700721","92","92","92","-131.83055100404601","-131.83055100404601","-131.83055100404601","92","92","92","-124.987609347595","-124.987609347595","-124.987609347595","92","92","92","-124.7857719975257","-124.7857719975257","-124.7857719975257","92","92","92","-123.74710264274437","-123.74710264274437","-123.74710264274437"
"93999","93","93","93","-130.43106033014175","-130.43106033014175","-130.43106033014175","93","93","93","-125.34500934952067","-125.34500934952067","-125.34500934952067","93","93","93","-125.03417085792238","-125.03417085792238","-125.03417085792238","93","93","93","-230.41285016439736","-230.41285016439736","-230.41285016439736","93","93","93","-130.32062548963378","-130.32062548963378","-130.32062548963378"
"94999","94","94","94","-127.71557601552674","-127.71557601552674","-127.71557601552674","94","94","94","-5.117184459602291","-5.117184459602291","-5.117184459602291","94","94","94","-7.068511142787466","-7.068511142787466","-7.068511142787466","94","94","94","-232.31972024645788","-232.31972024645788","-232.31972024645788","94","94","94","-125.7842349298103","-125.7842349298103","-125.7842349298103"
"95999","95","95","95","-250.6319157969347","-250.6319157969347","-250.6319157969347","95","95","95","-130.60605693767158","-130.60605693767158","-130.60605693767158","95","95","95","-5.852844190298259","-5.852844190298259","-5.852844190298259","95","95","95","-233.53773277172186","-233.53773277172186","-233.53773277172186","95","95","95","-123.92291571775357","-123.92291571775357","-123.92291571775357"
"96999","96","96","96","-6.95594159194986","-6.95594159194986","-6.95594159194986","96","96","96","-122.53565250995361","-122.53565250995361","-122.53565250995361","96","96","96","-247.25914539506752","-247.25914539506752","-247.25914539506752","96","96","96","-122.31159356209953","-122.31159356209953","-122.31159356209953","96","96","96","-4.957373713945599","-4.957373713945599","-4.957373713945599"
"97999","97","97","97","-231.6654298752245","-231.6654298752245","-231.6654298752245","97","97","97","-126.50037285229607","-126.50037285229607","-126.50037285229607","97","97","97","-350.7710981013539","-350.7710981013539","-350.7710981013539","97","97","97","-239.5005890214495","-239.5005890214495","-239.5005890214495","97","97","97","-122.95629390607877","-122.95629390607877","-122.95629390607877"
"98999","98","98","98","-128.33055069586132","-128.33055069586132","-128.33055069586132","98","98","98","-236.9543617870664","-236.9543617870664","-236.9543617870664","98","98","98","-249.979163798017","-249.979163798017","-249.979163798017","98","98","98","-240.20808122209777","-240.20808122209777","-240.20808122209777","98","98","98","-118.7815790976765","-118.7815790976765","-118.7815790976765"
"99999","99","99","99","-239.9118134681909","-239.9118134681909","-239.9118134681909","99","99","99","-6.070523474052608","-6.070523474052608","-6.070523474052608","99","99","99","-130.01523673091663","-130.01523673091663","-130.01523673091663","99","99","99","-5.563165710658039","-5.563165710658039","-5.563165710658039","99","99","99","-238.40125340919354","-238.40125340919354","-238.40125340919354"